devices/device_type,devices/device_id,devices/aircraft_model,devices/registration,devices/cn,devices/tracked,devices/identified,devices/aircraft_type
F,000000,SZD-41 Jantar Std,HA-4403,J,Y,Y,1
O,000001,Drone/UAV,aerobot,,Y,Y,5
F,000002,LS-6 18,OY-XRG,G2,Y,Y,1
F,000010,Unknown,D-EEAC,AC,Y,Y,6
F,000011,Skylane Airlony,D-MTEW,EW,Y,Y,3
F,000013,PA-28,D-EZIP,IP,Y,Y,2
O,000015,Paraglider,36445,,Y,Y,6
F,000037,,,,Y,N,6
F,000040,Paraglider,,,Y,Y,6
F,000063,,,,Y,N,1
F,0000FD,Taurus,F-JRDN,DN,Y,Y,1
O,000111,Parachute,I---AM,AM,Y,Y,6
O,000112,Motorplane,,,Y,Y,2
F,000114,,,,N,N,2
O,000115,Ultralight,D-MDAJ,,Y,Y,3
F,000140,VANS RV-7,F-PVGD,,Y,Y,2
F,000150,Ultralight,D-MSKX,,Y,Y,3
F,000176,Balloon,MCH-1,,Y,Y,6
O,000184,Paraglider,,,Y,Y,6
F,000203,Drone/UAV,SRZ2000,,Y,Y,5
F,000207,Drone/UAV,SRZ1000,,Y,Y,5
F,000215,Drone/UAV,AIRTEC,ATS,Y,Y,5
F,000229,Ventus 2t,OY-XPH,RA,Y,Y,1
F,000246,Apis 2,S5-NBQ,BQ,Y,Y,1
F,000256,ASK-16,D-KGOR,OR,Y,Y,1
F,000262,SZD-59 Acro,D-8059,8E,Y,Y,1
O,000284,Paraglider,,,Y,Y,6
F,000296,Unknown,D-IEST,,Y,Y,6
F,000317,Discus,OY-XOK,X9,Y,Y,1
F,000338,Unknown,,,Y,Y,6
O,000343,Paraglider,Thomas,,Y,Y,6
F,000350,ASG-29,N29XD,XD,Y,Y,1
F,000368,PIK-20 B,C-GORE,GP,Y,Y,1
F,000414,Paraglider,,,Y,Y,6
F,000423,Discus,N18MG,2,Y,Y,1
F,000451,ASG-29,N232FG,FG,Y,Y,1
F,000468,DG-808 B,N818MB,XI,Y,Y,1
F,000477,ASW-27,N273SP,TR,Y,Y,1
F,000503,SZD-48-1 Jantar Std 2,SP-3152,DG,Y,Y,1
F,000514,,,,Y,N,1
O,000555,Drone/UAV,CSKYFLY,73,Y,Y,5
F,000557,,,,Y,N,5
F,000597,LS-6,D-8997,IV,Y,Y,1
F,000617,ASW-20,OE-5292,A2,Y,Y,1
F,000643,DJI Mavic,,,Y,Y,5
F,000654,Apis 2,G CJDL,DL,Y,Y,1
F,000673,Ventus ct,G-CFMN,FMN,Y,Y,1
F,000683,Glasflugel 304S,N468TJ,96S,Y,Y,1
F,000684,Ultralight,D-MEMO,,Y,Y,3
F,000689,HPH 304C,N304GT,1M,Y,Y,1
F,000716,Arcus M,D-KZPP,PP,Y,Y,1
F,000756,Discus 2cFES,N1235,D3,Y,Y,1
F,000774,Ventus ct,D-KAUH,UH,Y,Y,1
O,000780,,,,N,N,1
F,000835,AC-4,C-GXYU,,Y,Y,1
O,000840,,,,Y,N,6
F,000853,SZD-55,C-fsho,KS,Y,Y,1
O,000871,Paraglider,D-NDII,,Y,Y,6
O,000888,Paraglider,52143,,Y,Y,6
F,000898,DG-300,N300VK,VK,Y,Y,1
F,000909,ASW-20,VH-GVN,VN,Y,Y,1
F,000929,Mosquito,GSZ,,Y,Y,1
F,000933,Ventus 2bx,N106DE,93,Y,Y,1
F,000935,ASH-25 MI,HB-2393,RM,Y,Y,1
F,000958,SZD-55,C-GOED,TJ,Y,Y,1
F,000962,UFO,N859GS,ZK,Y,Y,6
F,000963,Libelle Std,N826,826,Y,Y,1
F,000967,Paraglider,38693,,Y,Y,6
F,000974,SZD-48-1 Jantar Std 2,C-GGBW,69,Y,Y,1
F,000991,Carat,N135GS,AV8,Y,Y,1
F,001030,ASW-19,D-6985,KHM,Y,Y,1
F,001043,Ventus ct,HB-2206,LO,Y,Y,1
F,001108,Ventus 2cxM,D-KVCM,CM,Y,Y,1
F,001233,Unknown,G-EEBE,,Y,Y,6
F,001234,SZD-48 Jantar Std 2,ZK-GMJ,,Y,Y,1
F,001247,SZD-48-1 Jantar Std 2,SP-3212,B3,Y,Y,1
F,001254,Scottish Aviation Bulldog,HA-TVB,,Y,Y,2
F,001310,Paraglider,eljinet,001,Y,Y,6
F,001318,Paraglider,Etienne,STM,Y,Y,6
F,001352,Motorplane,HBEHS,,Y,Y,2
F,001446,SZD-51 Junior,SP-3313,Z-1,Y,Y,1
F,001456,JS-3 18M RES,N111WR,WR,Y,Y,1
F,001486,Cirrus,G-CKBT,633,Y,Y,1
F,001498,ASW-20,N113AD,IMO,Y,Y,1
F,001502,,,,Y,N,6
F,001548,JS-3 18M RES,N88BY,UP,Y,Y,1
O,001549,Paraglider,36445,,Y,Y,6
F,001571,Mooney,DENWU,,Y,Y,2
F,001585,Arcus M,D-KSMY,SY,Y,Y,1
F,001607,ASW-20,C-GBTZ,TZ,Y,Y,1
F,001652,,,,Y,N,4
O,001661,Paraglider,,,Y,Y,6
O,001670,Motorplane,,,Y,Y,2
F,0016D3,Paraglider,RoberDT,,Y,Y,6
F,001848,SZD-51 Junior,SP-3424,Z-2,Y,Y,1
F,001851,Ventus 2,D-8166,C,Y,Y,1
F,001863,DG-303,D-3580,PG,Y,Y,1
F,001868,Ka-6 e,D-6269,,Y,Y,1
F,001887,Paraglider,Kai.G.,KGL,Y,Y,6
F,001996,LS-3,,KD,Y,Y,1
O,001C0D,Drone/UAV,DRNETST,AB2,Y,Y,5
F,002012,Paraglider,CH48475,HrL,Y,Y,6
F,002047,Flight Design CTSW,G-RILA,,Y,Y,3
I,002071,JS-1 Revelation,ZS-GCT,EG,Y,Y,1
F,002250,DG-600,D-KHPE,,Y,Y,1
F,002322,Slingsby Vega 15m,D-DEDX,EDX,Y,Y,1
F,002339,HK36 Super Dimona,DKMBL,,Y,Y,1
O,002371,Paraglider,42406,,Y,Y,6
F,002419,ASW-24,N416EG,GG,Y,Y,1
O,002427,Paraglider,10776,,Y,Y,6
F,002432,Ultralight,D-MJKA,,Y,Y,3
F,002444,LS-1 d,D-0685,12,Y,Y,1
F,002446,,,,N,Y,4
F,002489,LAK 19,VHLAQ,,Y,Y,1
F,002531,Paraglider,,,Y,Y,6
O,002545,Stemme S-10,D-KBRE,,Y,Y,1
F,002588,DG-400,D-KEGR,GR,Y,Y,1
F,002709,Unknown,,CN3,Y,Y,6
F,002710,Unknown,,CN9,Y,Y,6
F,002711,Unknown,,CN5,Y,Y,6
F,002712,Unknown,,CN7,Y,Y,6
F,002713,Unknown,,CN8,Y,Y,6
F,002714,Unknown,,CN1,Y,Y,6
F,002715,Unknown,,CN1,Y,Y,6
F,002716,Unknown,,CN2,Y,Y,6
F,002718,Unknown,,CN4,Y,Y,6
F,002720,LS-8a,D-4735,ET,Y,Y,1
F,002735,Unknown,,CN6,Y,Y,6
F,002755,ASH-31 MI,VH-SUO,IT,Y,Y,1
F,002765,,,,N,N,1
F,002785,AutoGyro MTOsport,D-MEMM,,Y,Y,3
F,002787,,,,N,N,1
F,002814,,,,N,N,1
F,002858,DG-500,F-CMAE,,Y,Y,1
F,002906,Paraglider,22963,,Y,Y,6
F,002999,Paraglider,38032,,Y,Y,6
O,002B76,Zlin 142,OM-NNQ1,NNQ,Y,Y,2
F,003022,Arcus M,D-KRKA,ARK,Y,Y,1
F,003230,Carat,N7719C,99,Y,Y,1
F,003245,Stemme S-10,VH-XVT,XVT,Y,Y,1
F,003333,ASG-29E,D-KKRZ,RZ,Y,Y,1
F,003383,ASH-31 MI,D-KCHD,HD,Y,Y,1
F,003390,Discus,N88MW,UN,Y,Y,1
F,003665,Paraglider,110CE9,BIR,Y,Y,6
F,003690,ASG-32 MI,VH-IFA,3W,Y,Y,1
F,003733,Nimbus 3,VH-ZBV,BV,Y,Y,1
F,003751,DG-808 C,D-KKCB,CB,Y,Y,1
F,003812,HangGlider,,,Y,Y,6
F,003840,ASG-29E,D-KGMR,SB,Y,Y,1
F,003854,Duo Discus xlt,G-CKRO,KRO,Y,Y,1
F,003910,HangGlider,Carsten,,Y,Y,6
F,003974,PIK-20 D,C-GFOP,OP,Y,Y,1
F,003B7D,ASW-20,D-3081,DH,Y,Y,1
F,004014,Paraglider,,,Y,Y,6
F,004152,ASG-32 MI,D-KFFP,72,Y,Y,1
F,004172,Paraglider,D-MXDB,,Y,Y,6
F,004176,Paraglider,,,Y,Y,6
F,004193,Stemme S-10,D-KCUM,,Y,Y,1
F,004202,Arcus M,D-KBZE,2B,Y,Y,1
F,0042F9,Discus 2,D-5480,BW2,Y,Y,1
F,004335,,,,N,N,3
F,004389,ASH-31 MI,N527DR,7DR,Y,Y,1
F,004462,Ventus 2bx,N98AE,BDE,Y,Y,1
F,004604,Ventus 2,D-6965,,Y,Y,1
I,004641,,,,N,N,1
F,004682,ASW-24,D-6416,2F,Y,Y,1
F,004701,,,,N,N,1
F,004702,,,,N,N,1
F,004707,Pegase,G-CLZF,LZF,Y,Y,1
F,004811,ASG-29,ZS-OKW,133,Y,Y,1
F,004839,Duo Discus,F-CPHI,A2,Y,Y,1
I,004848,Ultralight,4848,,Y,Y,3
F,004858,Ventus 2ct,PH1308,NU,Y,Y,1
F,004925,ASW-19,C-GBYR,DX,Y,Y,1
F,004990,Astir CS,G-CFHW,FHW,Y,Y,1
F,004997,ASH-31 MI,N517PB,7PB,Y,Y,1
F,004D37,ASG-29,D-7429,9,Y,Y,1
O,004F0F,L-Spatz 55,LY-GJH,AK,Y,Y,1
F,005071,LS-4,G-DEOA,PL,Y,Y,1
F,005196,JS-1 C21,N213DT,DT,Y,Y,1
F,005255,Duo Discus xlt,D-KKSV,SV,Y,Y,1
F,005262,JS-3 18M RES,F CAJH,,Y,Y,1
O,00527C,Motorglider,86_20,,Y,Y,1
F,005400,DR-300,F-BSPS,,Y,Y,2
F,005417,LS-7,D-1714,7,Y,Y,1
F,005454,Slingsby Skylark 3F,BHT,,Y,Y,1
F,005517,FK9 Mark 2,D-MRFK,,Y,Y,3
I,005523,DV20 Katana,ZS-SNM,SNM,Y,Y,2
F,005533,FK14,D-MKAO,,Y,Y,3
F,005604,DG-200,N200PE,KQ,Y,Y,1
O,00582E,Towplane,LKVP-T1,TP1,Y,Y,2
F,006034,Astir CS,EC-FMF,VH,Y,Y,1
O,006179,Cessna 152,HA-BAT,BAT,Y,Y,2
F,006203,,,,N,N,1
F,006313,ASH-25 MI,D-KMHG,HG,Y,Y,1
F,006459,Twin Astir III,D-5532,K7,Y,Y,1
F,006514,SZD-51 Junior,G-CKPN,KPN,Y,Y,1
F,006569,Discus 2,D-6322,HUN,Y,Y,1
O,006704,,,,N,N,2
I,006789,DV20 Katana,ZS-DMN,DMN,Y,Y,2
O,006A86,PA-28,OY-BGS,,Y,Y,2
O,006E06,Balloon,HA-9010,261,Y,Y,6
F,007392,Jodel DR-1050,F-PZBY,,Y,Y,2
F,007462,Cirrus Std,OK-0103,2X,Y,Y,1
O,007A9A,,,,Y,N,1
F,008075,SZD-48-1 Jantar Std 2,SP-3781,PK,Y,Y,1
F,0081E2,JS-1 B Revelation,ZS-GCE,B5,Y,Y,1
F,008260,Paraglider,,,Y,Y,6
I,0085D1,JS-1 C21,ZS-GBR,GT,Y,Y,1
F,0087BB,Ventus 2cM,ZS-CXM,MB,Y,Y,1
F,008885,Piccolo B,D-KITF,,Y,Y,3
I,0089F0,PA-28,ZS-PXN,PXN,Y,Y,2
F,008ED7,LS-3,PH-611,RJ,Y,Y,1
F,008F33,JS-1 B Revelation,ZS-GDF,ZS,Y,Y,1
F,00901A,JS-1 C21,ZS-GBX,BJ,Y,Y,1
F,009025,JS-1 B Revelation,ZS-GCI,JS,Y,Y,1
F,009030,JS-1 B Revelation,ZS-GCT,EG,Y,Y,1
F,009049,Twin Astir I,D-7781,TC,Y,Y,1
F,0090C4,JS-1 C21,ZS-GIL,LI,Y,Y,1
F,009181,JS-1 B Revelation,ZS-GPS,GPS,Y,Y,1
F,0091C7,JS-1 C21,ZS-GSK,VV,Y,Y,1
F,0091F1,Ventus 2ct,D-KAZP,PJ,Y,Y,1
F,0091FA,JS-1 C21,ZSGDH,W2,Y,Y,1
I,009282,DG-400,ZS-GZP,ZP,Y,Y,1
O,009445,VSO-10,OK-1516,B1,Y,Y,1
F,009460,SZD-41 Jantar Std,HA-4403,J,Y,Y,1
I,0095DF,DG-808 B,ZT-GAE,YH,Y,Y,1
F,0096FB,,,,Y,N,1
F,009709,ASW-24 E,D-KAXI,IXI,Y,Y,1
I,009841,Drone/UAV,SUI9841,,Y,Y,5
I,009843,Drone/UAV,Matter,MNT,Y,Y,5
I,009844,Drone/UAV,Matter,MNT,Y,Y,5
I,009845,Drone/UAV,Matter,MNT,Y,Y,5
O,009884,JS-1 C18 Evo,ZS-GAK,421,Y,Y,1
F,009894,Eurostar EV97,OH-U412,,Y,Y,3
F,00A523,JS-1 C18 Evo,ZS-GEW,FJ,Y,Y,1
I,00A900,Ventus,ZS-GPT,PT,Y,Y,1
F,00A98C,Discus,D-KAMR,MR,Y,Y,1
F,00ADA8,ASH-26 E,D-KGKB,KB,Y,Y,1
I,00B2E7,DV20 Katana,ZS-TGO,TGO,Y,Y,2
O,00BE02,Ventus,OK5512,ZV,Y,Y,1
O,00C5AF,Helicopter,1754230,_51,Y,Y,4
F,00C6F6,DG-808 B,D-KCBS,PW,Y,Y,1
F,00C94D,Apis 2,F-JDYM,FM,Y,Y,1
F,00D510,Discus 2,D-5100,,Y,Y,1
O,00DA53,OldTimer,OK-1260,KMO,Y,Y,1
I,00DC00,EC 135,LN-OUK,NLA,Y,Y,4
F,00DDDB,ASG-29E,D-KUBA,W,Y,Y,1
O,00DE0A,ASW-19,LY-GUD,81,Y,Y,1
F,00F8D7,ASW-15,OM-1615,NZ,Y,Y,1
I,00FFFC,ASK-21,D-7070,,Y,Y,1
F,00FFFF,ASK-21,S5-7503,21,Y,Y,1
I,010125,LS-7,G-CGBY,GBY,Y,Y,1
F,010129,Ground Station,KGMo,,Y,Y,6
F,01013F,Ground Station,AIRFN,AFN,Y,Y,6
F,010140,Ground Station,LP_KULM,KLP,Y,Y,6
F,010144,Ground Station,SP_KULM,SPK,Y,Y,6
F,010217,Swift,D-9905,NH,Y,Y,1
F,01103A,HangGlider,HoHuene,HoH,Y,Y,6
F,0110B1,Balloon,PH-PGO,PGO,Y,Y,6
F,011288,Paraglider,TomDon,DON,Y,Y,6
O,011292,Paraglider,,,Y,Y,6
F,01133A,Paraglider,,,Y,Y,6
O,011821,VT-116 Orlik II,OK6430,T,Y,Y,1
O,011822,LS-8 18,CUBE3_0,IB0,Y,Y,1
F,011D23,Paraglider,,,Y,Y,6
F,012345,LS-1 f,IBI-FLR,IB2,Y,Y,1
F,012605,Libelle Std,D-2972,FF,Y,Y,1
O,0126FD,L 13 SEH Vivat,6103,,Y,Y,1
F,012C08,DG-500 M,D KGPG,PG,Y,Y,1
O,013020,ASW-19,OK-4028,RCE,Y,Y,1
O,013032,ASW-19,GGP4,GG4,Y,Y,1
O,013454,FM250 Vampire,OKSUL10,,Y,Y,3
O,014312,Skylane Airlony,OKAUO45,O45,Y,Y,3
F,014443,ASW-27,F-CJJC,,Y,Y,1
O,014D71,Drone/UAV,METEO1,,Y,Y,5
O,015966,Ka-7,HA-5059,,Y,Y,1
O,015979,Ultralight,44-04,,Y,Y,3
O,016027,PA-28,HA-BEC,HEC,Y,Y,2
O,01630C,Cessna 172,HA-SLK,SLK,Y,Y,2
O,01663C,Different Aircraft,FFVP003,F03,Y,Y,1
O,016E1D,Gyrocopter,HA-GYX,HYX,Y,Y,3
O,017B28,Cessna 172,HA-DOM,DOM,Y,Y,2
O,018A40,Gyrocopter,OMM-072,SZL,Y,Y,3
O,01DC29,Cessna 150,HA-BEG,,Y,Y,2
O,020827,VSO-10,GGP5,GG5,Y,Y,1
F,0211D1,ASW-20,G-CHEO,FU,Y,Y,1
O,021338,HPH 304S Shark,IBISEK,VUT,Y,Y,1
O,022710,VT-116 Orlik II,OK-6922,22,Y,Y,1
O,02305C,Zlin 242,OM-LWA,LWA,Y,Y,2
O,023070,PA-28,OM-DCR,DCR,Y,Y,2
O,023324,Drone/UAV,MET,RRR,Y,Y,5
O,023718,Motorglider,SP-0078,H36,Y,Y,1
O,023753,A380,OK-2403,,Y,Y,1
F,023ACE,Ultralight,D-MICR,,Y,Y,3
O,024234,Twin Astir II,OK-3780,TW,Y,Y,1
O,024835,Taurus,N221KS,1KS,Y,Y,1
O,024932,UFO,CC-K23W,23,Y,Y,6
O,024B60,OldTimer,OM-OLD3,OB3,Y,Y,1
O,024F0A,Unknown,KEK EG,124,Y,Y,6
F,025226,Paraglider,51271,,Y,Y,6
F,025522,FK9 Mark 2,QR,,Y,Y,3
O,026079,Robinson R44,HA-FTX,FTX,Y,Y,4
O,02A9CA,Drone/UAV,TESTAIR,07,Y,Y,5
O,02A9CD,Drone/UAV,YELLCS,555,Y,Y,5
O,02B700,PIK-15 Hinu,OHYHG,YHG,Y,Y,2
O,02DEED,Blanik,OM-0218,,Y,Y,1
F,030303,,,,Y,N,6
F,0304A2,Cirrus 18m,HA-4325,NN,Y,Y,1
O,030581,Paraglider,,,Y,Y,6
O,030882,Balloon,HA863,PPB,Y,Y,6
O,030885,DJI S1000,DRONE03,DR3,Y,Y,5
O,030898,MikroKopter Quadro,DRONE01,DR1,Y,Y,5
O,0309A0,Balloon,HA-9015,H15,Y,Y,6
O,032536,LS-1,SP-3984,81,Y,Y,1
F,032900,Pegase,OM0329,OI,Y,Y,1
O,032D67,Paraglider,ET,,Y,Y,6
F,032FAA,Duo Discus t,LN-GCP,CP,Y,Y,1
O,033042,Drone/UAV,METEO5,,Y,Y,5
O,033631,Other,CS-EAR,,Y,Y,1
F,033899,Ka-7,D-8463,P03,Y,Y,1
O,033915,LAK-17 AT,D-KGPC,PC,Y,Y,1
O,03440C,Blanik,OK-2710,SG1,Y,Y,1
O,034819,DR-400,OK-EBS,ROB,Y,Y,2
F,034CE8,Motorplane,D-MFFW,MUK,Y,Y,2
O,034F00,PIK-20 D,C-GINY,GY,Y,Y,1
O,035E35,UFO,CC-TR4,TR4,Y,Y,6
O,036A01,Cessna 172,CC-KWG,WG,Y,Y,2
F,037B68,PA-25 Pawnee,N9892P,2P,Y,Y,2
O,03885C,OldTimer,OK-xxxx,xx,Y,Y,1
O,038C18,Ultralight,FJWAL,,Y,Y,3
O,03A938,Z-226 trener,OM-MHG,G,Y,Y,2
O,03AB74,Ultralight,OKAUU03,AUU,Y,Y,3
O,03ABAF,UFO,ABBEEF,R2,Y,Y,6
O,03AF2A,Experimental,,201,Y,Y,1
O,03B2D8,MS-893 Commodore,BBB,,Y,Y,2
O,03BA64,Experimental,HDT,,Y,Y,1
F,03C119,IS-28B2,HA-5034,VA2,Y,Y,1
O,03D707,Cessna 172,OM-SNA,,Y,Y,2
O,03DB0E,HangGlider,20-53,XXX,Y,Y,6
O,04008F,Paraglider,,,Y,Y,6
O,04009B,Paraglider,PPG,,Y,Y,6
O,040311,Paraglider,FDGS,,Y,Y,6
O,040404,Paraglider,tomasz,713,Y,Y,6
F,040407,Paraglider,,,Y,Y,6
I,0406B0,Ventus 2ct,G-clme,LME,Y,Y,1
O,040899,Paraglider,EF-137,NCL,Y,Y,6
O,040928,Paraglider,SkNm15,S15,Y,Y,6
O,041203,Paraglider,041203,,Y,Y,6
O,041337,Ground Station,GNDSt,,Y,Y,6
F,041464,Unknown,TTB,TTB,Y,Y,6
O,041518,Paraglider,SkNm11,S11,Y,Y,6
O,041580,Pipistrel Virus,HABJF,HJF,Y,Y,3
O,0415E0,IS-28B2,HA 5027,,Y,Y,1
O,041720,Paraglider,SkNm12,S12,Y,Y,6
O,041926,Paraglider,TDCaw,,Y,Y,6
O,041A1D,Ground Station,041A1D,G-,Y,Y,6
O,041A1E,Parrot Bebop,041A1D,G-,Y,Y,5
O,041F2F,Ground Station,AWS-HOM,GDS,Y,Y,6
O,042703,Paraglider,,,Y,Y,6
O,042773,ASK-13,OK-2302,ASK,Y,Y,1
O,042BE2,Paraglider,11234,112,Y,Y,6
O,0433CC,Paraglider,SkNm17,S17,Y,Y,6
O,043569,DA40,OH-MSD,,Y,Y,2
O,043EC5,Eurostar EV97,OKCUO66,,Y,Y,3
O,043F08,Drone/UAV,Stat_11,,Y,Y,5
O,043F70,Astir Jeans,SP3841,,Y,Y,1
F,043F74,DJI Matrice,SAR-UAV,20,Y,Y,5
F,043FA4,DJI Mavic,Drohne,01,Y,Y,5
O,044038,DJI Phantom,044038,,Y,Y,5
F,044050,DJI Matrice,SAR-UAV,30,Y,Y,5
O,044114,Drone/UAV,Statn_2,,Y,Y,5
O,044118,Drone/UAV,BRHRHS2,,Y,Y,5
F,044138,DJI Matrice,SAR-UAV,04,Y,Y,5
F,044174,DJI Matrice,Drohne2,,Y,Y,5
F,044180,DJI Matrice,SAR-UAV,21,Y,Y,5
F,0441A0,DJI Matrice,SAR-UAV,02,Y,Y,5
F,0441E4,DJI Matrice,SAR-UAV,05,Y,Y,5
O,044280,Drone/UAV,Stat_10,,Y,Y,5
O,0443BC,Drone/UAV,Statn_8,,Y,Y,5
O,044460,Drone/UAV,Statn_6,,Y,Y,5
F,044700,HangGlider,WW S3,,Y,Y,6
O,045D2C,,,,N,N,6
O,046127,Cessna 172,D-EEVQ,EVQ,Y,Y,2
O,046213,Paraglider,Peak4,69,Y,Y,6
O,046215,A60 Fauconnet,,,Y,Y,1
O,046217,Paraglider,Peak4,NK,Y,Y,6
F,046274,VL3 Evolution,F-JRQE,,Y,Y,3
O,04637C,Cessna 172,HA-BFW,BFW,Y,Y,2
O,047794,Zodiac CH601XL,F-JBZW,,Y,Y,3
O,0477A1,Paraglider,0477A1,,Y,Y,6
O,047A2C,Ultralight,26-31,SES,Y,Y,3
F,047B88,Ground Station,WF,WF,Y,Y,6
O,047BA8,HangGlider,10-41,Lal,Y,Y,6
O,047EA8,Paraglider,BAT,,Y,Y,6
O,0483DC,Paraglider,PJ-080,,Y,Y,6
O,04842C,Paraglider,301,,Y,Y,6
F,0484F0,Ka-6 cr,G-CGEA,,Y,Y,1
O,048558,Ultralight,OM_M490,,Y,Y,3
O,048580,Paraglider,EVI,EVI,Y,Y,6
O,0485EC,HangGlider,10-37,Sti,Y,Y,6
O,048604,SGS 1-26,C-FLYY,Y2,Y,Y,1
O,048614,HangGlider,HFFA,,Y,Y,6
O,048644,Paraglider,SZ969,,Y,Y,6
O,048654,Paraglider,VBALAZS,377,Y,Y,6
O,0486F0,Ultralight,HA-UBW,UBW,Y,Y,3
O,04890C,Ultralight,OM-M835,FOX,Y,Y,3
O,048A30,HangGlider,1-238,,Y,Y,6
O,048DB8,Paraglider,SkNm18,S18,Y,Y,6
O,049E34,AutoGyro MTOsport,HA-GYH,HYH,Y,Y,3
F,04AAAC,A380,,,Y,Y,1
F,04AAAD,A380,,,Y,Y,1
I,04B061,Cessna 172,HB-CIE,CIE,Y,Y,2
O,04B729,Drone/UAV,METEO7,,Y,Y,5
O,04C001,HangGlider,04C001,C01,Y,Y,6
O,04C856,Cirrus Std,OK-4301,CV,Y,Y,1
O,04C8EF,Zlin 142,OM-DOR,DOR,Y,Y,2
O,04CAFE,Paraglider,tomasz,313,Y,Y,6
O,04CD03,Paraglider,MickESP,,Y,Y,6
O,04CD04,Paraglider,SX1,,Y,Y,6
O,04CD05,Ground Station,viewAir,.eu,Y,Y,6
O,04CE39,Ka-7,HA-5056,,Y,Y,1
O,04CF14,HangGlider,,,Y,Y,6
O,04D0D0,HangGlider,T2c,,Y,Y,6
O,04DA05,Paraglider,,,Y,Y,6
O,04DEAD,Paraglider,tomasz,13,Y,Y,6
O,04F098,Ground Station,WRover,,Y,Y,6
O,04F1C4,Paraglider,SkNm10,S10,Y,Y,6
F,050891,LS-8 18,HB-3352,EY,Y,Y,1
I,050FFF,EuroFox,OM-APRO,PRO,Y,Y,3
F,0518C2,A22 Foxbat,ATV,,Y,Y,3
O,051F77,Drone/UAV,PK-X010,P10,Y,Y,5
O,052889,Drone/UAV,PK-X009,P09,Y,Y,5
O,053814,Motorglider,86-07,,Y,Y,1
O,053816,DV20 Katana,HADAS,DAS,Y,Y,2
F,053D31,SF-25,D-KEFO,FO,Y,Y,1
O,053DB8,Motorglider,86-17,,Y,Y,1
O,0543BA,Ultralight,F-JTKB,,Y,Y,3
O,05453C,,,,Y,N,6
O,054916,Cirrus 18m,OK-8774,2W,Y,Y,1
O,055A16,EuroFox,OM-FANX,F4N,Y,Y,3
F,055A30,Twin Astir II,D-9878,T1,Y,Y,1
F,055BD4,ASW-19,HA-7327,M4,Y,Y,1
F,055CB0,SZD-36 Cobra 15,HA-4312,66,Y,Y,1
F,056BC8,LS-7,OH-963,70,Y,Y,1
F,056D4C,PIK-20 B,D-0127,8P,Y,Y,1
F,0572B4,Ultralight,D-MJPE,,Y,Y,3
F,05BA9D,Mosquito,SP-4169,M08,Y,Y,1
O,05C34A,Ultralight,F-JJAJ,JAJ,Y,Y,3
F,05D40B,Cirrus Std,VH-GYZ,C2,Y,Y,1
O,05D50B,Zlin 142,OM-ZLP,ZLP,Y,Y,2
O,05D5E7,Blanik,OM-1833,,Y,Y,1
O,05DB23,Blanik,OK-6706,06,Y,Y,1
O,060577,Paraglider,ToddyS,,Y,Y,6
F,061CCE,Astir CS,OK-7873,73,Y,Y,1
O,062024,FM250 Vampire,OKNUL37,VAM,Y,Y,3
O,062323,Astir CS,OK 1337,AU,Y,Y,1
O,062909,VSO-10,GGP6,GG6,Y,Y,1
O,063770,Cirrus Std,D-0705,,Y,Y,1
F,063868,Paraglider,Mario A,AMA,Y,Y,6
O,0642E4,Paraglider,SkNm13,S13,Y,Y,6
O,0644EC,Paraglider,SkNm14,S14,Y,Y,6
O,064650,Paraglider,SkNm16,S16,Y,Y,6
O,06472C,Paraglider,SkNm 9,Sn9,Y,Y,6
O,064D0E,SF-25,HA-1270,,Y,Y,1
O,065247,Unknown,KILY-1,Vin,Y,Y,6
O,066015,Z-226 trener,OK-MPB,226,Y,Y,2
O,06611F,Ultralight Glider,33-78,244,Y,Y,1
O,066F73,Nimbus 2,OK-0566,BM,Y,Y,1
O,068304,HangGlider,PDN2,,Y,Y,6
F,06A251,Paraglider,Erwi,Erw,Y,Y,6
O,06A4D0,Paraglider,,,Y,Y,6
O,06A80B,Ground Station,PF5,,Y,Y,6
O,06B328,Socata Rallye 235CA-M,,SOC,Y,Y,2
F,06B60C,Cirrus Std,G-CJJJ,,Y,Y,1
O,06CD5D,HangGlider,59-,038,Y,Y,6
F,06D012,DG-500 M,D KGPG,PG,Y,Y,1
F,06D015,ASK-21,D-4517,H1,Y,Y,1
F,06DD4E,Discus bT,D-KIFZ,FZ,Y,Y,1
F,06DD91,Discus,D-2143,,Y,Y,1
F,06DD9C,Twin Astir II,D-2670,70,Y,Y,1
F,06DDA8,Astir CS,D-4784,,Y,Y,1
F,06DDA9,SZD-55,OE-5712,JH,Y,Y,1
F,06DDAD,Zugvogel IIIb,D-8489,59,Y,Y,1
F,06DDC3,ASK-21,D-4927,2,Y,Y,1
F,06DDDF,DG-808 B,HB-2322,JW,Y,Y,1
F,06DDE7,Ka-8,D-3232,32,Y,Y,1
F,06DF12,ASW-20,D-7663,W2,Y,Y,1
F,06DF17,LS-8,D-3976,L8,Y,Y,1
O,070928,Paraglider,SN15,S15,Y,Y,6
F,070BE0,LS-7,D-1714,7,Y,Y,1
F,070F18,Ground Station,GS-2376,,Y,Y,6
F,070F34,Paraglider,RICHC,RJC,Y,Y,6
I,071308,Paraglider,,,Y,Y,6
O,07135E,Blanik,,,Y,Y,1
O,0713F4,Paraglider,TimPent,,Y,Y,6
O,071518,Paraglider,SN11,S11,Y,Y,6
