#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,COUNTRY
F,DF1792,Glider,EC-FMF,VH,Y,Y,Spain
F,A8B3C3,Jonker JS3,N66VH,VH,Y,Y,United States
I,4ACD76,ASG32EL,SE-SKV,VH,Y,Y,Sweden
F,A54A27,LAK-17AT,N44VH,VH,Y,Y,United States
F,DDDFF4,DG-808 B,D-KCVH,VH,N,Y,Germany
F,D00475,Glider,D-0311,VH,Y,Y,Germany
I,4AD6C8,ASH-26 E,SE-UVH,VH,Y,Y,Sweden
F,440D3C,Stemme S12,OE-9529,VH,Y,Y,Austria
F,D02CAB,JS3 RES,D-KMVH,VH1,Y,Y,Germany
F,2EC32F,Arcus M,D-KOWL,VH3,Y,Y,Germany
I,C07CDC,Astir CS 77,C-GVHJ,VHJ,Y,Y,Canada
I,4B4E50,ASG-29E,HB-2473,VI,Y,Y,Switzerland
F,DF0BC4,Antares 20E,D-KSRP,VI,Y,Y,Germany
F,DDDB46,DG-500,SE-UVI,VI,N,Y,Sweden
I,45E2C9,ASW-24,OY-XVI,VI,Y,Y,Denmark
I,DF0DD4,Mini Nimbus,D-4988,VI,Y,Y,Germany
F,3ECD41,Antares 20E,D-KSRP,VI,Y,Y,Germany
F,DDE2AB,DG-500,SE-UVI,VI,N,Y,Sweden
F,DD9B42,ASW15WL,D-0620,VIP,Y,Y,Germany
F,DD50D9,LS-4,D-8494,VIT,Y,Y,Germany
F,DDB54C,ASG-29,VIT,VIT,N,Y,Unknown
I,3952A9,DA40,F-GUVJ,VJ,N,Y,France
F,ADE9AB,Ventus 2 CM,OK-0070,VJ,Y,Y,Czech Republic
F,DDA792,Discus t,D-KVVJ,VJ,N,Y,Germany
F,DDD5BC,Taurus,F-JJVJ,VJ,N,Y,France
I,3D1149,C172,D-EEVJ,VJ,Y,Y,Germany
I,45E2CA,Ventus 2ct,OY-XVJ,VJ,Y,Y,Denmark
F,4038AA,DG800,G-BVJK,VJK,Y,Y,United Kingdom
I,A3BD45,Nimbus 3 25.5,N34ZS,VJS,Y,Y,United States
F,DDF07D,Arcus T,OY-WKX,VK,Y,Y,Denmark
I,3EF0A5,LS-4,D-4110,VK,Y,Y,Germany
