#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,COUNTRY
I,3F034A,Std. Libelle H201b,D-8887,#,Y,Y,Germany
F,D01413,Std. Libelle H201b,D-8887,#,Y,Y,Germany
F,DDC0A5,(unused),(UNUSED),(unused),Y,Y,Unknown
F,DDC0E4,(unused),(UNUSED),(unused),Y,Y,Unknown
F,DF086A,ASK 13,D-0513,-,Y,Y,Germany
F,2001C8,Paraglider,,-,Y,Y,Unknown
I,DF25A8,Antares 20E/21,D-KAJM,-,Y,Y,Germany
F,DF086E,Ka 8b,D-4628,-,Y,Y,Germany
I,4B5A37,Taurus M503,HB-5520,--,Y,Y,Switzerland
I,3E6BF5,Discus bT WL,D-KGBT,--,Y,Y,Germany
F,DDA70F,ASK21,D-2921,--,Y,Y,Germany
F,DDA7AA,ASK23,D-8978,--,Y,Y,Germany
F,AA5BCD,Carat,N767CT,00,Y,Y,United States
I,A9BEE8,Phoenix,N727PX,00,Y,Y,United States
F,DDE39C,DG-100,D-6100,00,Y,Y,Germany
F,DDA976,G103,D-5900,00,Y,Y,Germany
I,A57479,ASH-26 E,N4500E,00,Y,Y,United States
F,DDD9B6,Ka-6,D-6400,00,N,Y,Germany
F,D02654,Blanik L23,S5-7100,00,Y,Y,Unknown
I,4B4CDB,Ventus bT,HB-2100,00,N,Y,Switzerland
F,DD922F,HK36TT Super Dimona,OE-9500,00,Y,Y,Austria
F,DF2318,Glasfluegel 304,D-0300,00,Y,Y,Germany
F,A7FDEC,TG-16,N614DG,002,Y,Y,United States
F,A801A3,TG-16,N615DG,003,Y,Y,United States
F,A8055A,TG-16,N616DG,004,Y,Y,United States
F,A34ADA,TG-16,N717DG,005,Y,Y,United States
I,3FFAF6,Helicopter,N901B,007,Y,Y,United States
F,A99A17,TG-16,N718DG,007,Y,Y,United States
F,DD83DE,Std. Libelle,D-8790,007,Y,Y,Germany
F,DD989C,Duo Discus,D-5707,007,N,Y,Germany
F,49B07F,Nimbus 4DM,OK-5151,007,Y,Y,Czech Republic
I,C00A03,Duo Discus,C-FDUQ,007,Y,Y,Canada
I,DD8AC5,Ventus A,I-LOIS,007,Y,Y,Italy
F,D02930,Duo Discus,D-5707,007,Y,Y,Germany
F,DF033C,Duo Discus,C-FDUO,007,N,Y,Canada
F,A99DCE,TG-16,N719DG,008,Y,Y,United States
F,DDA647,ASW-28,D-7729,01,N,Y,Germany
F,DD9619,DG-500,HB-2201,01,N,Y,Switzerland
F,EF0F01,DJI-Inspire II,WOHA,01,Y,Y,Unknown
I,4B48CC,LS-1 d,HB-1061,01,Y,Y,Switzerland
F,DDA356,ASK-13,D-5701,01,Y,Y,Germany
F,512424,PEGASE,F-CFRA,01,Y,Y,France
F,DDAFAE,Duo Discus,D-4901,01,Y,Y,Germany
F,DDE373,LS-3,D-7367,01,Y,Y,Germany
I,32DA1D,L 13 SEH Vivat,OM-4701,01,Y,Y,Slovakia
F,A053D6,Asw 20,N120BL,01,Y,Y,United States
F,DDFDE5,Pilatus PC11 AF RG,D-7401,01,Y,Y,Germany
F,DDE244,Ka-6,D-9401,01,Y,Y,Germany
F,DDA89F,Grob Twin Astir II,D-XX01,01,Y,Y,Germany
F,DDABB2,Ka-8,OE-5015,015,N,Y,Austria
F,C76C20,PA25,N9101P,01P,Y,Y,United States
I,405380,Ventus 2t,G-VTUS,02,Y,Y,United Kingdom
F,DD9E36,Kestrel,D-2402,02,Y,Y,Germany
F,49BF18,MiniShark,OK-2006,02,Y,Y,Czech Republic
I,4B4E6D,Duo Discus XLT,HB-2502,02,Y,Y,Switzerland
F,D0137D,JS-3 RES,D-KMOJ,02,Y,Y,Germany
F,DD858A,ASW-15,D-0803,03,N,Y,Germany
F,DDA6C8,Ls4a,D-3503,03,Y,Y,Germany
I,3EEB26,Twin 1,D-2703,03,Y,Y,Germany
F,F64497,Sinus,I-6403,03,Y,Y,Italy
F,DDB20C,Ka8,D-4603,03,Y,Y,Germany
F,DD96B6,LS-4,D-9804,04,N,Y,Germany
F,DDAF71,Ka-8,D-9404,04,Y,Y,Germany
F,DDB554,Grob Astir CS,D-7304,04,N,Y,Germany
F,DD9C63,DG-505,D-3904,04,N,Y,Germany
F,DDFDAC,K 7,D-5404,04,Y,Y,Germany
I,2FB1C0,LS6a,D-4604,04,Y,Y,Germany
F,DDA7F1,LS 4 a,D-5104,04,Y,Y,Germany
I,4B51F3,Junior,HB-3404,04,Y,Y,Switzerland
I,ABAA47,Towplane,N8504L,04L,N,Y,United States
F,DDA6B9,DG300,D-5805,05,Y,Y,Germany
F,DDAA4B,Kranich III,D-3205,05,Y,Y,Germany
F,D02635,Blanik L13,S5-7105,05,Y,Y,Unknown
F,DD9CC1,Junior,D-8305,05,N,Y,Germany
F,A02635,Blanik L13,S5-7105,05,Y,Y,Unknown
F,DF2607,Ka 6 CR,D-9405,05,Y,Y,Germany
F,F51157,DG-303,3E451A11,0508910769,Y,Y,Unknown
F,64024D,Paraglider,_GINGE,053,Y,Y,Unknown
F,B202D8,Cessna 150/150,N4205U,05U,Y,Y,United States
F,DD835D,Junior,D-2806,06,Y,Y,Germany
I,A79BC7,ASW-20,59HK,06,N,Y,Unknown
F,DD85B3,Ka8b,D-0306,06,Y,Y,Germany
F,DD0466,Salto H101,D-1306,06,Y,Y,Germany
F,DDC01A,Ka6CR,D-4706,06,Y,Y,Germany
I,4B4E0D,Antares 20E,HB-2406,06,Y,Y,Switzerland
F,DDBED5,LS-7,D-6406,06,N,Y,Germany
F,DDD4A7,Grunau Baby III,D-1107,07,Y,Y,Germany
F,DDFAF6,SZD 41 Jantar Std,D-9407,07,Y,Y,Germany
I,EA1807,ASH-26 E,D-KWKW,07,N,Y,Germany
F,DD8F33,Bergfalke III,D-9307,07,Y,Y,Germany
F,DD988A,ASK-13,D-7507,07,Y,Y,Germany
F,DDAAFE,LS3,D-7907,07,Y,Y,Germany
F,DDA70E,Glider,D-0208,08,Y,Y,Germany
F,DDACC7,Twin Astir II,D-6908,08,Y,Y,Germany
F,DD8744,Astir CS,D-6208,08,Y,Y,Germany
F,DD8EC0,ASK-21,D-4208,08,Y,Y,Germany
F,DD988E,LS-4,D-0800,08,Y,Y,Germany
F,DD9FBD,Ka-8,D-4608,08,Y,Y,Germany
I,4B51E4,LS8-s,HB-3389,08,Y,Y,Switzerland
F,DDA739,TwinIII,D-5208,08,Y,Y,Germany
I,DDBAB1,Grob Astir CS 77,D-4808,08,Y,Y,Germany
F,3EE3B7,LS-4a,D-0800,08,Y,Y,Germany
F,DF13BE,DG 1000,D-0801,08,Y,Y,Germany
F,DDC450,Ka-6,D-9408,08,N,Y,Germany
F,DD85EE,Bergfalke IV,D-0308,08,Y,Y,Germany
I,4B4CCA,GROB 109B,HB-2083,083,Y,Y,Switzerland
I,4B4CCE,Grob G109,HB-2087,087,Y,Y,Switzerland
F,DDA560,ASW-24,D-8909,09,N,Y,Germany
F,DD82E4,Ka-8,D-9409,09,N,Y,Germany
F,DD9C51,Ka-6,D-0709,09,N,Y,Germany
F,D02A44,ASK21,D-4709,09,Y,Y,Germany
F,DDFA2B,SZD-9 Bocian,D-3409,09,N,Y,Germany
F,DDA994,Grob Club Astir,D-9009,09,Y,Y,Germany
F,DDF06F,LS-4 neo,D-7097,097,Y,Y,Germany
I,ADAEC5,Piper PA-25 Pawnee,N9809P,09P,Y,Y,United States
F,87892C,ASK-21,N120DW,0DW,Y,Y,United States
I,A4CE44,Glider,N409CB,0F,Y,Y,United States
I,3830FD,WT9 Dynamic,F-JVOH,0H,N,Y,France
I,AC200C,S-10VT,N880YS,0YS,Y,Y,United States
I,A2A4C4,ASW-27,N27GL,1,Y,Y,United States
I,765432,A380,TEST,1,N,Y,Unknown
I,C057C4,ASW-20,C-GHGD,1,Y,Y,Canada
I,4079D5,AS33Es,G-WLLW,10,Y,Y,United Kingdom
O,18A823,VT-116,OK-4310,10,Y,Y,Czech Republic
F,DDAD71,ASK-13,D-5010,10,Y,Y,Germany
F,004481,ASW-20B,N112JL,10,Y,Y,United States
F,DD9474,SZD-36 Cobra,D-5310,10,N,Y,Germany
F,484B9F,Ka-6,PH-342,10,Y,Y,Netherlands
F,DDDBF0,Twin 2,D-3510,10,Y,Y,Germany
F,DDD2CF,ASW-20,ZS-GMI,100,N,Y,South Africa
F,DD5286,Pilatus PC11,D-9689,100,Y,Y,Germany
F,100100,ASH31Mi,D-KSHG,100,Y,Y,Germany
F,DDDA20,Marianne,F-TFUI,101,N,Y,France
I,3BDF78,L 13 SEH Vivat,OM-0120,102,Y,Y,Slovakia
F,DF21FB,Mini Nimbus C,G-CGFU,102,Y,Y,United Kingdom
F,DD4ED4,DG-808 B,G-DGCL,102,N,Y,United Kingdom
I,405395,ASW28,G-0000,104,Y,Y,United Kingdom
F,DD4F6F,ASW-28,G-0000,104,Y,Y,United Kingdom
F,DDE83A,PIK 20D,G-DDZT,106,Y,Y,United Kingdom
F,DD83DD,LibelleStd.,OM-0201,109,N,Y,Slovakia
F,DDEAA6,Arcus M,D-KJRR,11,Y,Y,Germany
F,DDA7F9,Salto H101,D-2211,11,Y,Y,Germany
F,DD0168,DG1000S,D-4911,11,Y,Y,Germany
F,D01050,ASH25,F-CLAB,11,Y,Y,France
F,DDEAAF,Discus 2cT,D-KHMN,11,Y,Y,Germany
F,DDDA30,Discus,G-GGGG,11,N,Y,United Kingdom
I,4059DD,Ventus 2cT,G-CJLA,11,Y,Y,United Kingdom
F,440855,Pitts11,OE-CSW,11,Y,Y,Austria
F,DDD816,LS-3,9350,11,N,Y,Unknown
F,DD96C6,Ka-8,D-5211,11,N,Y,Germany
I,3EE872,ASK 21 B,D-2011,11,Y,Y,Germany
F,DD8741,Ka-8,D-1111,11,Y,Y,Germany
F,7C29AA,Ventus 2ct,VH-IIK,11,Y,Y,Australia
F,3EDC28,AS33 Me,D-KYII,11,Y,Y,Germany
I,406054,DG-808 C,G-DJNE,112,N,Y,United Kingdom
F,1A010B,Matrice 210v2,D-EUF9X8J8FHHB1CB,112,Y,Y,Germany
I,A01348,SGS 1-26,N10379,113,N,Y,United States
F,115E2C,DG,D-KOTO,115,Y,Y,Germany
F,DD86FC,Grob Twin Astir I,G-CLOO,115,N,Y,United Kingdom
F,DD91E6,Glider,D-4117,117,Y,Y,Germany
F,DDE410,Pegase,G-DESH,118,Y,Y,United Kingdom
F,DF20D3,Astir CS,OE-5112,12,Y,Y,Austria
F,3D4312,Ka 4 Rhoenlerche II,D-4312,12,Y,Y,Germany
F,DD94F0,ASK-21,D-4512,12,N,Y,Germany
F,A0763B,ASG-29,N129MG,12,Y,Y,United States
F,DDF0AF,DG-1000 T,G-WYVN,12,Y,Y,United Kingdom
F,3EDDD7,Arcus M,D-KYYX,12,Y,Y,Germany
F,DF13ED,Arcus M,D-KYYX,12,Y,Y,Germany
F,DDA640,Grob Twin Astir II,OE-5312,12,N,Y,Austria
F,DDAA82,DG-1000 T,G-WYVN,12,Y,Y,United Kingdom
F,DDA632,Astir,D-3512,12,Y,Y,Germany
F,DD926D,Elfe S4,D-1312,12,N,Y,Germany
F,DDE41C,Kestrel,I-KICO,12,Y,Y,Italy
F,DD94F7,ASK-13,D-1912,12,N,Y,Germany
I,405C02,Slingsby T51 - Dart 17R,G-DRAT,121,Y,Y,United Kingdom
F,DDD4EF,LibelleStd.,G-AXZH,123,Y,Y,United Kingdom
F,F0C9B4,Ventus 2cxt,G-CKFP,124,Y,Y,United Kingdom
F,B94558,Ventus 2cxt,G-CKFP,124,Y,Y,United Kingdom
F,6AA2B9,Ventus 2cxt,G-CKFP,124,Y,Y,United Kingdom
I,4B50E0,DG200/17c,HB-3129,129,Y,Y,Switzerland
I,4B51C7,LS-8 18,HB-3360,12F,Y,Y,Switzerland
F,D00263,Grob Twin Astir I,OM-7480,13,Y,Y,Slovakia
F,DDA9CB,ASK-13,OE-5083,13,N,Y,Austria
F,DD86DC,ASK13,D-8213,13,Y,Y,Germany
F,DDDBF7,Discus t,D-KKLS,13,N,Y,Germany
F,DD8423,Grob Astir CS-77,D-5913,13,N,Y,Germany
I,3DBF7B,Std. Cirrus,OM-6503,13,Y,Y,Slovakia
F,DDF133,ASH-25 EB,D-KOOL,13,Y,Y,Germany
I,484AA6,Std. Cirrus,PH-499,13,Y,Y,Netherlands
F,DDA3AA,DG 300,D-3213,13,Y,Y,Germany
F,DD9E62,ASK 13,D-0413,13,Y,Y,Germany
I,DDAA28,Discus BT,F-CKLS,13,Y,Y,France
F,DDEAB3,ASH-31 Mi,D-KGMI,13,N,Y,Germany
F,D006A4,LibelleStd.,D-1213,13,Y,Y,Germany
F,006266,Cirrus Std,G-CHNM,131,Y,Y,United Kingdom
F,404FB2,LS3,G-CKHB,131,Y,Y,United Kingdom
F,DDBBAB,ASG-29,ZS-OKW,133,N,Y,South Africa
I,405529,LS-4,G-CFHL,136,N,Y,United Kingdom
F,DDBFFD,ASW-20,G-CHDL,137,Y,Y,United Kingdom
I,AAE85F,Grob 103 Twin II,N8013K,13K,Y,Y,United States
F,DD824F,Ka-8,D-0614,14,N,Y,Germany
I,DDF110,Std. Cirrus,PH-495,14,Y,Y,Netherlands
I,4B4DB1,HK36 Super Dimona,HB-2314,14,Y,Y,Switzerland
F,DD8543,Discus CS,D-5314,14,Y,Y,Germany
F,DDB224,LS-1,D-1414,14,N,Y,Germany
F,DDA542,Pilatus B4,D-1114,14,Y,Y,Germany
I,A0679F,PW-5,N125PW,14,N,Y,United States
F,DD9CFF,DG-200,D-5614,14,Y,Y,Germany
F,DD8538,HK 36 Dimo,OE-9414,14,Y,Y,Austria
F,DDAB5E,Mini Nimbus,G-CGFU,142,Y,Y,United Kingdom
F,2006B0,Paraglider,N-ONE,14555,Y,Y,United States
F,DD9D1B,Pegase,F-CGBJ,146,N,Y,France
F,DDE34F,Mini Nimbus,G-SRAH,147,Y,Y,United Kingdom
F,DD9DB6,Motorglider,OE-9148,148,N,Y,Austria
F,DDE97E,Silent 2 Targa,HB-5515,15,N,Y,Switzerland
F,DD961D,ASW-20,ZS-GMK,15,N,Y,South Africa
F,DD4F34,Let L-23 Super Blanik,S5-7115,15,Y,Y,Unknown
F,40131A,DISCUS BT,G-CJJZ,15,Y,Y,United Kingdom
F,DD8A09,ASW15B,OK-1515,15,Y,Y,Czech Republic
F,DDEB54,Nimbus 4,PH-1515,15,Y,Y,Netherlands
I,3EE10B,ASW-20,D-0116,15,Y,Y,Germany
F,DDAE5F,Ka6E,D-6115,15,Y,Y,Germany
F,DDD44B,ASK-21,D-9215,15,Y,Y,Germany
I,484FF3,Nimbus 4,PH-1515,15,Y,Y,Netherlands
F,407905,Ventus 3TS,G-CLXW,150,Y,Y,United Kingdom
F,D00298,ASH31Mi,G-NAPS,151,Y,Y,United Kingdom
F,DDAB55,LS-4,D-7752,152,Y,Y,Germany
F,40679F,Ventus 2cxa,G-XAVV,152,Y,Y,United Kingdom
F,DDFAB8,Std. Cirrus,G-DDZF,152,N,Y,United Kingdom
F,07F879,LS4,D-7752,152,Y,Y,Germany
I,405E52,Ventus CT,G-DFHS,154,Y,Y,United Kingdom
F,DDDC3A,Discus,G-CFMO,158,Y,Y,United Kingdom
F,DDEAD9,ASW27,G-CKDN,15C,Y,Y,United Kingdom
F,DDA5FF,ASW-27,ZS-GUN,15M,N,Y,South Africa
F,C777C8,PA25,N9815P,15P,Y,Y,United States
F,DDB00B,Discus b,D-7816,16,Y,Y,Germany
F,DD847D,ASK 21,D-4816,16,Y,Y,Germany
I,A0F96E,Discus 2,N162DG,16,Y,Y,United States
I,3EFA6F,Glider,D-6616,16,Y,Y,Germany
I,406887,Duo Discus XLT,G-SAXL,16,Y,Y,United Kingdom
F,DD870D,Ka-6 CR,D-8416,16,Y,Y,Germany
I,DD8D31,Ka-8,D-8616,16,Y,Y,Germany
F,DDAABD,Ka-6,D-5821,16,N,Y,Germany
F,DDBC09,Glasflugel H301,SE-TIB,16,Y,Y,Sweden
I,42525F,HANG GLIDER,ATOSVQ11,16,Y,Y,Unknown
F,DDD5EE,LS-8 18,G-CJPR,161,Y,Y,United Kingdom
F,DDD2C5,ASH-25,ZS-GXX,162,Y,Y,South Africa
F,DD9CAB,ASK-21,HB-1654,1654,Y,Y,Switzerland
F,40566D,LS6c,G-GCBR,167,Y,Y,United Kingdom
F,DD5117,Pegase,F-CGBZ,169,Y,Y,France
F,8C0664,Schweizer 1-36,N3616G,16G,Y,Y,United States
F,C76270,Pawnee,N8816L,16L,Y,Y,United States
I,AD8A94,Piper PA-25 Pawnee,N9716P,16P,Y,Y,United States
I,A81D34,Piper Pawnee,N6216X,16X,Y,Y,United States
F,DD9CDF,Ka-8,D-8417,17,Y,Y,Germany
F,DD912F,VSO-10,OM-6511,17,Y,Y,Slovakia
F,DDB020,Ka-6,D-1917,17,Y,Y,Germany
F,DD93C8,LAK-17 AT,G-CKOI,170,N,Y,United Kingdom
F,DDE5ED,ASW-27,G-CKDS,172,Y,Y,United Kingdom
F,DDD50B,Nimbus 4,G-CJCT,176,Y,Y,United Kingdom
F,DD8DF7,DG-100,G-0000,177,Y,Y,United Kingdom
I,40582B,ASW20BL,G-CFBA,178,Y,Y,United Kingdom
I,C05257,LAK-17 B,C-GFES,17B,Y,Y,Canada
F,404FF0,LAK17AT,G-DAVS,17T,Y,Y,United Kingdom
I,A931D2,Pawnee,N6917Z,17Z,Y,Y,United States
F,DD993B,ASK-13,D-9918,18,Y,Y,Germany
F,DDA5C0,DG-800S,D-1897,18,Y,Y,Germany
I,AB5644,Grob Astir CS,N83CS,18,Y,Y,United States
F,DD92F1,ASK-13,D-1800,18,Y,Y,Germany
F,49B042,LS-8,OK-1818,18,Y,Y,Czech Republic
F,DDE33F,ASW-20,G-DDST,180,N,Y,United Kingdom
I,405308,ASW20,G-DDST,180,Y,Y,United Kingdom
I,407037,ASW-24,G-KALP,186,N,Y,United Kingdom
F,DD4EF2,Mini Nimbus,G-CFHG,187,Y,Y,United Kingdom
I,405652,Pegase 101A,G-CFJK,189,Y,Y,United Kingdom
F,DF08BD,Antares 18 T,D-KAZS,18T,N,Y,Germany
I,ADBBA9,Ventus,N984T,19,Y,Y,United States
I,3E6154,VentusCM,D-KCBC,19,Y,Y,Germany
F,DF08A2,ASK-13,D-0419,19,N,Y,Germany
I,2C5EE1,Ka-8,D-5419,19,Y,Y,Germany
F,DDD510,Kranich II,D-4819,19,Y,Y,Germany
F,D004ED,LAK-19,D-9198,19,Y,Y,Germany
F,DDAC4E,G103,D-4419,19,Y,Y,Germany
F,DDE250,Ventus,D-1419,19,Y,Y,Germany
I,F71986,LS-1 f,D-3128,19,N,Y,Germany
F,DDDCFD,ASK21,D-7019,19,Y,Y,Germany
F,DDD434,LibelleStd.,EC-CIA,19,Y,Y,Spain
F,DDA630,Ventus CM,D-KCBC,19,Y,Y,Germany
F,DDA9CC,ASK-13,D-1900,19,Y,Y,Germany
F,DDDB6A,DG-200,G-DDWJ,191,Y,Y,United Kingdom
F,220024,Paraglider,19252,19252,Y,Y,Unknown
F,405484,ASW-19B,G-DEJR,193,Y,Y,United Kingdom
F,28C113,Club class glider,G-DEJR,193,Y,Y,United Kingdom
F,DDE365,Glider,G-CFUV,194,Y,Y,United Kingdom
F,D01063,LS7,194,194,Y,Y,Unknown
F,AC06AC,Paraglider,RICHIE,19609,Y,Y,Unknown
F,DD51F9,LAK19T,G-XIXT,19T,Y,Y,United Kingdom
F,DDDA41,DG-300,G-XIXX,19X,N,Y,United Kingdom
I,A8E31A,PA-25,N6719Z,19Z,Y,Y,United States
F,DDA86A,LS-4,D-3358,1A,N,Y,Germany
F,DF1493,Ventus 2CT,D-KLAC,1A,Y,Y,Germany
F,7C29C4,LS8-18,VH-IJA,1A,Y,Y,Australia
I,7C29C4,LS8-18,VH-IJA,1A,Y,Y,Australia
F,D008A9,LS-3,D-7902,1A,Y,Y,Germany
I,AA436F,ASH-31Mi,N760VM,1A,Y,Y,United States
I,45AB08,ASH-26 E,OY-JXH,1A,N,Y,Denmark
F,DDD304,ASH-25,F-CGKV,1A,N,Y,France
F,45AF01,LS-6 18W,OY-KXA,1A,Y,Y,Denmark
F,486726,EuroFox,PH-1A0,1A0,Y,Y,Netherlands
I,AB3495,Apis 2,821AC,1AC,Y,Y,Unknown
F,A63DF9,TG-16,N501DG,1AT,Y,Y,United States
I,A25B4E,ASW-20,N251B,1B,N,Y,United States
F,DDB056,DG-100,D-6567,1B,Y,Y,Germany
F,DD991C,ASW 19b,D-6019,1B,Y,Y,Germany
I,4B4C51,ASK 21,HB-1962,1B,Y,Y,Switzerland
F,DDB5E2,LS-4,D-4970,1B,N,Y,Germany
F,D004BC,Ventus b,D-9137,1B,Y,Y,Germany
I,DF1703,ASK21,D-7708,1B,Y,Y,Germany
F,DDE31A,ASW-17S,VH-MMK,1BT,Y,Y,Australia
I,4B5219,Arcus-S,HB-3442,1C,N,Y,Switzerland
F,DD9CA3,Jeans Astir,D-7639,1C,Y,Y,Germany
I,AD3937,JS-1 Revelation,N951JS,1C,Y,Y,United States
F,DDD41C,Janus A,PH-1481,1C,Y,Y,Netherlands
F,DD8393,Ventus b,D-3192,1C,Y,Y,Germany
I,A5760D,DG-1000,N451CH,1CH,N,Y,United States
F,DDE4DA,Glider,D-4119,1D,Y,Y,Germany
I,4B4B5A,LS-4,HB-1715,1D,Y,Y,Switzerland
I,A03CB7,LS-4,N114SZ,1D,N,Y,United States
F,DDA806,LS-8 18,D-4119,1D,N,Y,Germany
F,DDA2F0,DG-100,D-6430,1D,N,Y,Germany
F,DF0DB2,ASG-29E,D-KSCL,1D,Y,Y,Germany
I,AAE5E6,DG1000S,N801DG,1DG,Y,Y,United States
I,C00435,HpH 304CZ,C-FBPK,1DM,Y,Y,Canada
F,DDDD4A,CB 15,F-CBCI,1E,Y,Y,France
F,DDED99,LS1F,G-LSIF,1F,Y,Y,United Kingdom
F,DDA66E,LS1f,F-COZS,1F,Y,Y,France
F,DD9158,LS1 f,D-8920,1F,Y,Y,Germany
F,DD850C,Junior,F-CBZH,1F,N,Y,France
F,DD9C5F,ASW15,D-0161,1F,Y,Y,Germany
I,4850DC,LS-1 f,PH-1540,1F,Y,Y,Netherlands
F,A72519,HPH 304CZ,N56FL,1FL,Y,Y,United States
I,4AD727,Ventus2 cxM,SE-UYG,1G,Y,Y,Sweden
I,4B5113,DG800S,HB-3180,1G,Y,Y,Switzerland
F,3E7721,Arcus M,D-KKHT,1G,Y,Y,Germany
F,DDA7CD,Ventus 2cxT,D-KBHT,1G,N,Y,Germany
F,DDF0EF,DG-800,HB-3180,1G,N,Y,Switzerland
F,D01330,Ventus2cxt,D-KBHT,1G,Y,Y,Germany
F,DDAB35,Discus 2cT,D-KKKH,1H,N,Y,Germany
F,3E65E8,Arcus M,D-KDUE,1H,Y,Y,Germany
F,D00564,Discus ax,N33DX,1H,Y,Y,United States
F,DD9BA3,Grob Twin Astir I,D-1332,1HT,N,Y,Germany
I,A2041D,ASG-29,N229TD,1I,N,Y,United States
I,A12A84,Phoebus A1,N1741,1JG,Y,Y,United States
I,A45FE2,Glider,N381K,1K,Y,Y,United States
I,A4FED6,LAK-12,N4206N,1K,N,Y,United States
F,DDD7FF,Std Cirrus,G-CHKD,1K,Y,Y,United Kingdom
I,A1E5AA,glider,N221KS,1KS,Y,Y,United States
F,DDA947,ASK-21,D-4229,1L,Y,Y,Germany
I,4B4E67,Arcus T,HB-2496,1L,Y,Y,Switzerland
I,A00979,Pegasus,N101LV,1LV,N,Y,United States
I,A193DC,Ventus Ct,N582RC,1M,N,Y,United States
I,A32ED6,HPH 304,N304GT,1M,Y,Y,United States
F,000689,HPH 304C Wasp,N-000304GT,1M,Y,Y,United States
F,D00969,Standard Libelle,D-139,1M,Y,Y,Germany
F,DDB5DF,ASW-15,D-2380,1N,N,Y,Germany
F,DDA2CC,Ls1-f,D-9488,1P,N,Y,Germany
I,ADD79F,DG400,N991P,1P,Y,Y,United States
F,DDECA9,EB 28,D-KCTP,1P,N,Y,Germany
I,3EDDA2,EB29DR,D-KYWW,1P,Y,Y,Germany
F,DD9779,LS4a,D-8873,1R,Y,Y,Germany
F,486650,AS33Es,PH-1691,1R,N,Y,Netherlands
I,A1BE53,Discus,N211MG,1R,Y,Y,United States
F,D00DA0,LS4,D-8712,1R,Y,Y,Germany
I,3EF987,LS8,D-6384,1S,Y,Y,Germany
I,A1D515,Glider,N217SB,1SB,Y,Y,United States
I,AABD4F,ASK-21,N791SC,1SC,Y,Y,United States
I,AD821B,Ventus 2B,53301033,1SH,Y,Y,Unknown
F,A3E291,Standard Cirrus,N35BD,1ST,Y,Y,United States
F,DD98D2,Discus bt,D-KBEW,1T,Y,Y,Germany
I,484F5C,ls1f,D-2776,1T,Y,Y,Germany
I,3EEB6F,LS1f,D-2776,1T,Y,Y,Germany
I,3EE265,DG505,D-0462,1T,Y,Y,Germany
I,3E71F3,DG-1000 T,D-KIIT,1T,Y,Y,Germany
F,DD8DC7,LS-7,D-4586,1T,N,Y,Germany
F,4F37B6,LAK19T,G-CKOU,1UP,Y,Y,United Kingdom
F,DDB6AF,ASW-22,D-7873,1V,N,Y,Germany
F,DD9C38,DG-500,D-5212,1V,N,Y,Germany
I,3E7950,DG1001T,D-KLDG,1V,Y,Y,Germany
F,DDEF5D,Discus 2,HB-3424,1V,Y,Y,Switzerland
F,DDBC64,ASW-19,D-7839,1V,Y,Y,Germany
I,DDD5FE,LS8,D-3086,1W,Y,Y,Germany
F,DF166B,Discus bT,D-KIDD,1W,Y,Y,Germany
I,A324FD,ASH-31 Mi,N301W,1W,N,Y,United States
F,DD4F01,Duo Discus t,OY-RAX,1W,Y,Y,Denmark
F,DD8511,Ventus,F-CGLH,1W,N,Y,France
F,D00499,Discus 2C,OY-XXS,1W,Y,Y,Denmark
F,DDB1EA,Astir CS,D-7278,1W,N,Y,Germany
F,DDD360,DG 101G,SP-4109,1W,Y,Y,Poland
I,3EEE60,Discus b,D-3529,1X,Y,Y,Germany
I,A0C9B9,Discus 2,N15VH,1X,Y,Y,United States
I,3EC8EB,Discus 2cT,D-KRAX,1X,Y,Y,Germany
F,A05C54,Js3,N122NH,1X,Y,Y,United States
F,DDD801,Discus,D-3529,1X,N,Y,Germany
I,3EE567,LS4b,D-1232,1Y,Y,Y,Germany
I,3EEA32,Club Libelle,D-2459,1Y,Y,Y,Germany
F,DDDBB8,LS-8,D-9718,1Z,Y,Y,Germany
F,DDE31B,DG-200,D-6646,1Z,Y,Y,Germany
I,DF1717,ASK21,D-4492,1Z,Y,Y,Germany
F,DD18E8,DG-202,G-ONEZ,1Z,Y,Y,United Kingdom
I,484A8A,Duo Discus T,PH-1198,1Z,Y,Y,Netherlands
I,A37446,JS3-RES,N321Z,1Z,Y,Y,United States
F,D02763,LS1-d,SP-3898,1k,Y,Y,Poland
F,DD8D79,2,2,2,Y,Y,Unknown
F,DD52CA,Aero Boero 180,LV-ASC,2,Y,Y,Argentina
I,A13F6D,Discus,N18MG,2,Y,Y,United States
F,DDDB4E,PIK-20 D,SE-UUT,2,N,Y,Sweden
F,DDDBC9,ASW-20,G-DETZ,20,Y,Y,United Kingdom
I,4866E4,ASW20-CL,PH-1701,20,Y,Y,Netherlands
F,DD8598,Twin Astir III,D-4320,20,Y,Y,Germany
F,DDC134,LS-4,D-7875,20,Y,Y,Germany
F,D00A3D,Arcus-M,D-KHSH,20,Y,Y,Germany
I,7C3605,ASW 20,VH-KYF,20,Y,Y,Australia
F,DDB563,ASK-21,D-4220,20,N,Y,Germany
F,DD9646,ASW-20,D-2020,20,Y,Y,Germany
F,DD86D2,PIK-20 D,D-0220,20,Y,Y,Germany
I,F78763,ASK-21,D-4220,20,N,Y,Germany
