devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
O,24A8C0,SZD-50 Puchacz,SP-3396,-,Y,Y,1,Poland
F,DF25A8,Antares 21 E,D-KAJM,-,Y,Y,1,Germany
I,406C23,Eurostar EV97,G-NILT,-,Y,Y,3,United Kingdom
F,4B4C59,ASK-21,HB-1970,-,Y,Y,1,Switzerland
F,3E6858,RF 5,D-KESE,-,Y,Y,1,Germany
I,910390,ASK-21,HB-1591,-,Y,Y,1,Switzerland
I,910663,ASK-21,HB-1590,-,Y,Y,1,Switzerland
F,DD9B8C,UFO,OK-XXYY,-,Y,Y,6,Czech Republic
F,D02B0E,IS-28B2,HA-5020,--,Y,Y,1,Hungary
I,4B5A37,Taurus,HB-5520,--,Y,Y,1,Switzerland
I,3E6BF5,Discus bT,D-KGBT,--,Y,Y,1,Germany
F,D029D5,ASK-13,OM-1313,--,Y,Y,1,Slovakia
F,D02B10,IS-28B2,HA-5030,--,Y,Y,1,Hungary
F,4057AB,ASG-29E,G-CKSX,0,Y,Y,1,United Kingdom
O,602FE0,Blanik,OK-2300,00,Y,Y,1,Czech Republic
F,DD820F,Kestrel,D-2500,00,Y,Y,1,Germany
F,DD85E4,Libelle Std,D-6900,00,Y,Y,1,Germany
F,4B4CDB,Ventus bT,HB-2100,00,Y,Y,1,Switzerland
F,DD84F7,Ka-6 cr,D-5300,00,Y,Y,1,Germany
I,AA5BCD,Carat,N767CT,00,Y,Y,1,United States
F,0D5200,Twin Astir III,D-5200,00,Y,Y,1,Germany
I,A9BEE8,Phoenix,N727PX,00,Y,Y,3,United States
F,9168F8,UFO,X-FILE,00,Y,Y,6,Unknown
I,A57479,ASH-26 E,N4500E,00,Y,Y,1,United States
F,DDA976,Twin Astir III,D-5900,00,Y,Y,1,Germany
F,DF0A18,Pilatus B4,D-2300,00,Y,Y,1,Germany
O,247C1C,Ka-8,HA-4002,002,Y,Y,1,Hungary
F,DD8AC5,Ventus,I-LOIS,007,Y,Y,1,Italy
F,096052,Hornet,D-MZZN,007,Y,Y,1,Germany
F,49B07F,Nimbus 4DM,OK-5151,007,Y,Y,1,Czech Republic
F,D02930,Duo Discus,D-5707,007,Y,Y,1,Germany
F,DD9A4F,Motorglider,HA-1008,008,Y,Y,1,Hungary
F,DDA2E9,ASK-21,D-5401,01,Y,Y,1,Germany
F,D0090A,ASK-21,D-8601,01,Y,Y,1,Germany
F,043FA4,DJI Mavic,D-ROHNE,01,Y,Y,5,Germany
F,DD8EC5,SF-34,D-4201,01,Y,Y,1,Germany
F,1A009B,DJI Matrice,SAR-UAV,01,Y,Y,5,Unknown
F,DDE373,LS-3,D-7367,01,Y,Y,1,Germany
F,DD9145,FM250 Vampire,OK-SUL01,01,Y,Y,3,Czech Republic
O,401B5C,Blanik,RF-67728,01,Y,Y,1,Russia
F,DDAE6B,DG-100,D-1701,01,Y,Y,1,Germany
F,DDFDE5,Pilatus B4,D-7401,01,Y,Y,1,Germany
O,3E9E31,SZD-48-3 Jantar Std 3,LY-GCM,01,Y,Y,1,Lithuania
I,4B48CC,LS-1 d,HB-1061,01,Y,Y,1,Switzerland
F,512424,Pegase,F-CFRA,01,Y,Y,1,France
F,DDBE88,Discus t,OY-XZH,01,Y,Y,1,Denmark
F,D014AF,ASK-21,I-IVWE,01,Y,Y,1,Italy
O,24E25C,SZD-9 Bocian,SP-3101,01,Y,Y,1,Poland
F,DF0D67,Discus 2c,D-4301,01,Y,Y,1,Germany
F,DDDFCF,Duo Discus,D-4901,01,Y,Y,1,Germany
F,DD9DC7,ASK-21,D-2201,01,Y,Y,1,Germany
F,DDE244,Ka-6 cr,D-9401,01,Y,Y,1,Germany
F,DDAFAE,Duo Discus,D-4901,01,Y,Y,1,Germany
F,1A00E9,DJI Matrice,F-WKO,01,Y,Y,5,France
F,DDA89F,Twin Astir II,D-XX01,01,Y,Y,1,Germany
F,484B5E,Ventus 2cxT,OY-XCH,01,Y,Y,1,Denmark
I,505D5A,WT9 Dynamic,OM-S013,013,Y,Y,3,Slovakia
I,484C71,ASK-13,PH-1013,013,Y,Y,1,Netherlands
O,38FA00,Balloon,B-AL016,016,Y,Y,6,China
O,C76C20,PA-25 Pawnee,N9701P,01P,Y,Y,2,United States
F,DDA6EF,Mosquito,D-9002,02,Y,Y,1,Germany
F,0441A0,DJI Matrice,SAR-UAV,02,Y,Y,5,Unknown
I,405380,Ventus 2t,G-VTUS,02,Y,Y,1,United Kingdom
F,D0137D,JS-3 18M RES,D-KMOJ,02,Y,Y,1,Germany
O,253B4A,Blanik,OM-6802,02,Y,Y,1,Slovakia
F,49BF18,HPH 304CZ-17,OK-2006,02,Y,Y,1,Czech Republic
O,3DCC09,Blanik,OK-3702,02,Y,Y,1,Czech Republic
F,D01528,ASK-21,I-PAIS,02,Y,Y,1,Italy
F,D00276,ASH-25,D-7502,02,Y,Y,1,Germany
F,DD8249,LS-4,D-3502,02,Y,Y,1,Germany
O,247F40,Ka-8,HA-4021,021,Y,Y,1,Hungary
O,DEBADA,SZD-22 Mucha Standard,SP-2003,03,Y,Y,1,Poland
F,DDB20C,Ka-8,D-4603,03,Y,Y,1,Germany
F,412C3C,DJI Matrice,SAR-UAV,03,Y,Y,5,Unknown
F,D01480,DG-505,I-IVSA,03,Y,Y,1,Italy
F,DDA6C8,LS-4,D-3503,03,Y,Y,1,Germany
F,DD8349,Blanik,OM-9203,03,Y,Y,1,Slovakia
F,DDB048,Cirrus 18m,D-5203,03,Y,Y,1,Germany
I,3EEB26,Twin Astir I,D-2703,03,Y,Y,1,Germany
F,D024CF,H36 Dimona,OH-795,037,Y,Y,1,Unknown
I,465BDD,RF 5,OH-1037,037,Y,Y,1,Unknown
O,26B8C3,SGS 1-26,N771SY,039,Y,Y,1,United States
F,DD9FEE,Std. Astir II,D-4804,04,Y,Y,1,Germany
F,DDEAF6,LS-4,D-9804,04,Y,Y,1,Germany
F,044138,DJI Matrice,SAR-UAV,04,Y,Y,5,Unknown
F,4AD5ED,Cirrus,OK-3113,04,Y,Y,1,Czech Republic
F,DDA7F1,LS-4,D-5104,04,Y,Y,1,Germany
F,4B51F3,SZD-51 Junior,HB-3404,04,Y,Y,1,Switzerland
F,DD9487,Pilatus B4,D-4904,04,Y,Y,1,Germany
I,ABAA47,PA-25 Pawnee,N8504L,04L,Y,Y,2,United States
F,DD83AC,Blanik,OM-9205,05,Y,Y,1,Slovakia
O,20E97D,Blanik,OK-8205,05,Y,Y,1,Czech Republic
I,4B4D44,H36 Dimona,HB-2205,05,Y,Y,1,Switzerland
F,F65308,Ka-6 cr,D-9405,05,Y,Y,1,Germany
I,3F0108,SZD-51 Junior,D-8305,05,Y,Y,1,Germany
F,DF2607,Ka-6 cr,D-9405,05,Y,Y,1,Germany
O,604020,VT-116 Orlik II,OK-8405,05,Y,Y,1,Czech Republic
O,978C94,PA-25 Pawnee,LV-BTL,05,Y,Y,2,Argentina
F,0441E4,DJI Matrice,SAR-UAV,05,Y,Y,5,Unknown
F,DD9A54,ASW-20,F-CBDN,05,Y,Y,1,France
F,DDAA4B,Kranich III,D-3205,05,Y,Y,1,Germany
F,DDA6B9,DG-300,D-5805,05,Y,Y,1,Germany
I,505E2F,EuroFox,OM-S053,053,Y,Y,3,Slovakia
F,DD8909,SF-27,D-4053,053,Y,Y,1,Germany
O,BA148F,SGS 1-26,N3886A,053,Y,Y,1,United States
F,B202D8,Cessna 150,N4205U,05U,Y,Y,2,United States
I,4B4E0D,Antares 20 E,HB-2406,06,Y,Y,1,Switzerland
F,DD8331,ASK-13,D-0806,06,Y,Y,1,Germany
F,DD835D,SZD-51 Junior,D-2806,06,Y,Y,1,Germany
F,D00E9B,DG-1001 M,OE-9506,06,Y,Y,1,Austria
I,A79BC7,ASW-20,N59HK,06,Y,Y,1,United States
I,CCD8D3,Astir CS,D-4206,06,Y,Y,1,Germany
F,DDA800,Blanik,OK-1806,06,Y,Y,1,Czech Republic
F,DDC01A,Ka-6 cr,D-4706,06,Y,Y,1,Germany
O,05DB23,Blanik,OK-6706,06,Y,Y,1,Czech Republic
F,DD85B3,Ka-8,D-0306,06,Y,Y,1,Germany
F,3D3F85,PZL-104 Wilga,D-EWHP,06,Y,Y,2,Germany
F,DD4F85,ASK-21,D-9906,06,Y,Y,1,Germany
O,82F50F,SGS 1-26,N1106S,06S,Y,Y,1,United States
O,1D6FE4,PA-25 Pawnee,N4606Y,06Y,Y,Y,2,United States
O,8D6FE4,PA-25 Pawnee,N4606Y,06Y,Y,Y,2,United States
F,DD8F33,Bergfalke III,D-9307,07,Y,Y,1,Germany
F,F71527,LS-3,D-7907,07,Y,Y,1,Germany
F,DD9473,LS-4,ZS-GOG,07,Y,Y,1,South Africa
O,0A3210,L 13 SEH Vivat,OM-6107,07,Y,Y,1,Slovakia
F,DD850A,Blanik,OM-2707,07,Y,Y,1,Slovakia
F,DDD4A7,Grunau Baby,D-1107,07,Y,Y,1,Germany
F,DDAF1B,TST-10,OK-A707,07,Y,Y,1,Czech Republic
O,C9EE5F,SZD-9 Bocian,SP-3107,07,Y,Y,1,Poland
F,DD993C,Ka-8,D-1307,07,Y,Y,1,Germany
F,505EDE,WT9 Dynamic,OM-S076,076,Y,Y,3,Slovakia
F,8E8FA0,SGS 1-26,N1107S,07S,Y,Y,1,United States
F,DDBAB1,Astir CS-77,D-4808,08,Y,Y,1,Germany
I,3EE3B7,LS-4,D-0800,08,Y,Y,1,Germany
F,DDACC7,Twin Astir II,D-6908,08,Y,Y,1,Germany
O,1EEA78,SZD-50 Puchacz,SP-3408,08,Y,Y,1,Poland
F,DDA739,Twin Astir III,D-5208,08,Y,Y,1,Germany
F,DF13BE,DG-1000,D-0801,08,Y,Y,1,Germany
F,DDA6E2,SZD-50 Puchacz,D-6608,08,Y,Y,1,Germany
F,DD988E,LS-4,D-0800,08,Y,Y,1,Germany
F,DD9FBD,Ka-8,D-4608,08,Y,Y,1,Germany
F,DDE315,Ka-8,D-5308,08,Y,Y,1,Germany
O,2491F4,SZD-50 Puchacz,SP-3408,08,Y,Y,1,Poland
F,D0101A,miniLAK FES,F-CKAM,08,Y,Y,1,France
F,DDC450,Ka-6 e,D-9408,08,Y,Y,1,Germany
I,4B51E4,LS-8 18,HB-3389,08,Y,Y,1,Switzerland
F,DD8496,ASK-21,D-4708,08,Y,Y,1,Germany
I,44045F,SF-25,OE-9508,08,Y,Y,1,Austria
F,DDD9C3,Grob G109,HB-2083,083,Y,Y,1,Switzerland
I,4B4CCA,Grob G109,HB-2083,083,Y,Y,1,Switzerland
F,3FF32D,Pipistrel Virus,D-MIVP,087,Y,Y,3,Germany
F,DDFA2B,SZD-9 Bocian,D-3409,09,Y,Y,1,Germany
F,DDFE06,Twin Astir II,D-6909,09,Y,Y,1,Germany
F,D00539,ASK-21,D-7209,09,Y,Y,1,Germany
F,DD865A,Ka-2,D-1409,09,Y,Y,1,Germany
F,DDA560,ASW-24,D-8909,09,Y,Y,1,Germany
F,DDB1CC,Pegase,F-CFRF,09,Y,Y,1,France
F,DD4F2C,Blanik,S-7109,09,Y,Y,1,Unknown
F,D02A44,ASK-21,D-4709,09,Y,Y,1,Germany
I,AB348D,PA-18 Super Cub,N82096,096,Y,Y,2,United States
I,A468CB,SGS 1-26,N3830A,097,Y,Y,1,United States
I,505F50,Viper SD-4,OM-M099,099,Y,Y,2,Slovakia
I,ADAEC5,PA-25 Pawnee,N9809P,09P,Y,Y,2,United States
F,87892C,ASK-21,N120DW,0DW,Y,Y,1,United States
I,A4CE44,Discus,N409CB,0F,Y,Y,1,United States
I,A4AD52,Discus,N400HB,0HB,Y,Y,1,United States
F,AC200C,Stemme S-10,N880YS,0YS,Y,Y,1,United States
I,4B4203,Vans RV-8,HB-YZZ,1,Y,Y,2,Switzerland
F,DDA2B4,Discus 2cT,D-KWAE,1,Y,Y,1,Germany
F,DF08EE,Arcus M,OE-9485,1,Y,Y,1,Austria
I,0DD9C7,HPH 304S Shark,D-4015,1,Y,Y,1,Germany
I,A2A4C4,ASW-27,N27GL,1,Y,Y,1,United States
F,C057C4,ASW-20,C-GHGD,1,Y,Y,1,Canada
F,DD8DD0,HPH 304S Shark,D-4015,1,Y,Y,1,Germany
F,D00EBA,LS-8,SE-UPF,1,Y,Y,1,Sweden
I,44076B,Arcus M,OE-9485,1,Y,Y,1,Austria
F,DDB009,LS-4 W,D-6415,1,Y,Y,1,Germany
F,DDDB1C,DG-500,SE-UTV,1,Y,Y,1,Sweden
O,1CDD52,Cessna 150,HA-BFM,1,Y,Y,2,Hungary
I,2FDFCF,HPH 304S Shark,D-4015,1,Y,Y,1,Germany
O,C30AD0,UFO,IGC-001,1,Y,Y,6,Italy
O,18A823,VT-116 Orlik II,OK-4310,10,Y,Y,1,Czech Republic
F,3E5FCF,AS 34Me,D-KBMD,10,Y,Y,1,Germany
F,D003DE,SB-14,D-9814,10,Y,Y,1,Germany
O,223954,VT-116 Orlik II,OK-3422,10,Y,Y,1,Czech Republic
F,F51439,Astir CS-77,SP-4099,10,Y,Y,1,Poland
I,4408E4,HK36 Super Dimona,OE-9410,10,Y,Y,1,Austria
O,C30774,UFO,IGC-010,10,Y,Y,6,Italy
F,DD86D0,TST-10,OK-AUG10,10,Y,Y,1,Czech Republic
F,DDDBF0,Twin Astir II,D-3510,10,Y,Y,1,Germany
F,A00443,Ventus 2cM,N10VN,10,Y,Y,1,United States
F,223331,Astir CS-77,SP-4099,10,Y,Y,1,Poland
I,A03474,ASW-20,N112JL,10,Y,Y,1,United States
F,505E39,LS-10,OM-1010,10,Y,Y,1,Slovakia
F,D024FD,Pegase,F-CFRB,10,Y,Y,1,France
F,4079D5,AS 33,G-WLLW,10,Y,Y,1,United Kingdom
F,DDAD71,ASK-13,D-5010,10,Y,Y,1,Germany
I,484B9F,Ka-6 cr,PH-342,10,Y,Y,1,Netherlands
F,401310,SZD-55,G-CHHR,100,Y,Y,1,United Kingdom
F,100100,ASH-31 MI,D-KSHG,100,Y,Y,1,Germany
F,DDD2CF,ASW-20,ZS-GMI,100,Y,Y,1,South Africa
F,DD82DE,Pegase,OM-1100,101,Y,Y,1,Slovakia
F,DF21FB,Mini Nimbus,G-CGFU,102,Y,Y,1,United Kingdom
F,DDE7E0,Astir Jeans,F-CFMU,102,Y,Y,1,France
O,3BDF78,L 13 SEH Vivat,OM-0102,102,Y,Y,1,Slovakia
F,DDDA64,Pegase,F-CFXN,104,Y,Y,1,France
O,3D255B,L 13 SEH Vivat,OK-0105,105,Y,Y,1,Czech Republic
O,511BEA,L 13 SEH Vivat,OK-0105,105,Y,Y,1,Czech Republic
F,DDE83A,PIK-20 D,G-DDZT,106,Y,Y,1,United Kingdom
F,DDDA2A,Marianne,F-TGDL,106,Y,Y,1,France
O,2F2524,Cessna 172,HA-CTQ,106,Y,Y,2,Hungary
F,405BC7,ASW-20,G-DEAE,107,Y,Y,1,United Kingdom
O,35B55B,L 13 SEH Vivat,OK-9107,107,Y,Y,1,Czech Republic
F,DDDBA5,Marianne,F-UMDR,109,Y,Y,1,France
I,4055C9,Ventus ct,G-YUGE,109,Y,Y,1,United Kingdom
F,DD83DD,Libelle Std,OM-0201,109,Y,Y,1,Slovakia
F,DD511E,LS-1 f,OO-ZBK,11,Y,Y,1,Belgium
F,4059DD,Ventus 2ct,G-CJLA,11,Y,Y,1,United Kingdom
O,C30A50,UFO,IGC-011,11,Y,Y,6,Italy
F,D01401,Twin Shark,OK-1001,11,Y,Y,1,Czech Republic
F,DD0168,DG-1000,D-4911,11,Y,Y,1,Germany
F,DD5113,ASH-25,F-CLAB,11,Y,Y,1,France
F,7C29AA,Ventus 2ct,VH-IIK,11,Y,Y,1,Australia
F,DDB007,SZD-50 Puchacz,D-3611,11,Y,Y,1,Germany
F,DDA6B3,LS-4,D-0411,11,Y,Y,1,Germany
F,DF1469,Ventus 2ct,G-CJLA,11,Y,Y,1,United Kingdom
F,3ECF5A,ASG-32 MI,D-KTMG,11,Y,Y,1,Germany
F,D01050,ASH-25,F-CLAB,11,Y,Y,1,France
F,3EE872,ASK-21,D-2011,11,Y,Y,1,Germany
F,3EDC28,AS 33Me,D-KYII,11,Y,Y,1,Germany
F,DD5237,LS-3,EC-DFX,11,Y,Y,1,Spain
F,F0A590,Blanik,OM-2711,11,Y,Y,1,Slovakia
F,DD9CB4,ASW-24,OK-2411,11,Y,Y,1,Czech Republic
F,4AD674,DG-800,SE-UST,11,Y,Y,1,Sweden
F,DD9F23,SF-27,OK-7822,11,Y,Y,1,Czech Republic
F,DDD2CE,Ventus,ZS-GPR,11,Y,Y,1,South Africa
F,DD87EE,ASK-23,D-3411,11,Y,Y,1,Germany
F,DD8741,Ka-8,D-1111,11,Y,Y,1,Germany
F,DDA7F9,Salto H101,D-2211,11,Y,Y,1,Germany
F,DDEAAF,Discus 2cT,D-KHMN,11,Y,Y,1,Germany
I,ACB2B4,Discus 2,N917WV,11,Y,Y,1,United States
F,DD9E0F,ASK-13,D-5311,11,Y,Y,1,Germany
F,D0051D,Nimbus 2,D-7111,111,Y,Y,1,Germany
F,59D210,Nimbus 2,D-7111,111,Y,Y,1,Germany
F,DDE703,Twin Astir II,ZS-GNX,112,Y,Y,1,South Africa
F,D00DB6,DG-808 C,G-DJNE,112,Y,Y,1,United Kingdom
F,1A00C3,DJI Matrice,SAR-UAV,112,Y,Y,5,Unknown
F,DDDE6B,DG-808 C,G-DJNE,112,Y,Y,1,United Kingdom
O,C309C4,UFO,IGC-113,113,Y,Y,6,Italy
F,DDE701,Twin Astir II,ZS-GNJ,113,Y,Y,1,South Africa
I,505ED6,EuroFox,OM-W114,114,Y,Y,3,Slovakia
F,DDEBB6,LS-6,G-CHAO,114,Y,Y,1,United Kingdom
F,406D30,Silent 2 Electro,G-CILB,115,Y,Y,1,United Kingdom
F,115D80,DG-800,D-XXTO,115,Y,Y,1,Germany
F,40568F,Nimbus 3,G-DEON,117,Y,Y,1,United Kingdom
F,DD91E6,Ka-8,D-4117,117,Y,Y,1,Germany
F,D01CED,Nimbus 3,G-DEON,117,Y,Y,1,United Kingdom
O,29AB9C,SGS 2-33A,N2811H,11H,Y,Y,1,United States
I,A0763B,ASG-29,N129MG,12,Y,Y,1,United States
I,DD9F31,Twin Astir II,D-6412,12,Y,Y,1,Germany
F,DD9FA8,Ka-8,D-8512,12,Y,Y,1,Germany
F,DD8220,VSO-10,OM-6501,12,Y,Y,1,Slovakia
F,DDA632,Astir Club,D-3512,12,Y,Y,1,Germany
F,DDF0AF,DG-1000 T,G-WYVN,12,Y,Y,1,United Kingdom
F,DDEBE4,Arcus M,D-KYYX,12,Y,Y,1,Germany
F,DDF08C,Nimbus 3,OK-0330,12,Y,Y,1,Czech Republic
F,DD94F7,ASK-13,D-1912,12,Y,Y,1,Germany
O,3B4520,VT-116 Orlik II,OK-2412,12,Y,Y,1,Czech Republic
F,404F67,DG-1000 T,G-WYVN,12,Y,Y,1,United Kingdom
F,3EDDD7,Arcus M,D-KYYX,12,Y,Y,1,Germany
F,002444,LS-1 d,D-0685,12,Y,Y,1,Germany
F,4B5A2F,Silent 2 Electro,HB-5512,12,Y,Y,1,Switzerland
F,DDE41C,Kestrel,I-KICO,12,Y,Y,1,Italy
F,DDAA82,DG-1000 T,G-WYVN,12,Y,Y,1,United Kingdom
I,A4DCA8,ASH-31 MI,N412MG,12,Y,Y,1,United States
O,C30AC8,UFO,IGC-012,12,Y,Y,6,Italy
F,3D4312,Ka-4,D-4312,12,Y,Y,1,Germany
O,C3FC28,PZL-104 Wilga,RF-01200,120,Y,Y,2,Russia
F,DDAC1D,Jodel D120,F-THOM,120,Y,Y,2,France
I,405C02,Slingsby T51 Dart 17R,G-DRAT,121,Y,Y,1,United Kingdom
F,DF0ADD,Ka-6 cr,D-9876,123,Y,Y,1,Germany
F,DDD4EF,Libelle Std,G-AXZH,123,Y,Y,1,United Kingdom
F,DDA4E2,Ventus 2,D-7123,123,Y,Y,1,Germany
F,6AA2B9,Ventus 2cxT,G-CKFP,124,Y,Y,1,United Kingdom
F,C71EEC,Ventus 2cxT,G-CKFP,124,Y,Y,1,United Kingdom
O,6402F1,LS-4,LV-EOJ,124,Y,Y,1,Argentina
F,F0C9B4,Ventus 2cxT,GC-KFP,124,Y,Y,1,United Kingdom
O,56A0B8,SGS 1-26,N7739S,126,Y,Y,1,United States
F,DDE702,Astir CS,ZS-GJX,126,Y,Y,1,South Africa
F,DDF045,LS-6,G-LSED,126,Y,Y,1,United Kingdom
F,DDE6FE,Astir CS,ZS-GKC,127,Y,Y,1,South Africa
F,DD51CD,Kestrel,G-DCWB,128,Y,Y,1,United Kingdom
F,4B50E0,DG-200,HB-3129,129,Y,Y,1,Switzerland
I,4B51C7,LS-8 18,HB-3360,12F,Y,Y,1,Switzerland
F,DDA90C,ASK-13,D-1375,13,Y,Y,1,Germany
F,DD8513,Blanik,OM-1713,13,Y,Y,1,Slovakia
O,3B232F,Blanik,OK-0931,13,Y,Y,1,Czech Republic
F,DDA9CB,ASK-13,OE-5083,13,Y,Y,1,Austria
F,3E6D08,ASH-31 MI,D-KGMI,13,Y,Y,1,Germany
F,DD8423,Astir CS-77,D-5913,13,Y,Y,1,Germany
F,D00263,Twin Astir I,OM-7480,13,Y,Y,1,Slovakia
F,DDF133,EB 28,D-KOOL,13,Y,Y,1,Germany
F,D00D25,VSO-10,OM-6503,13,Y,Y,1,Slovakia
F,DDDCBC,DG-300,D-4713,13,Y,Y,1,Germany
F,DDAA28,Discus t,F-CKLS,13,Y,Y,1,France
F,DD90DA,ASK-13,D-0646,13,Y,Y,1,Germany
F,D01F14,ASH-31 MI,D-KGMI,13,Y,Y,1,Germany
F,D01EF8,EB 28,D-KOOL,13,Y,Y,1,Germany
F,F72646,Twin Astir II,LV-EIP,13,Y,Y,1,Argentina
F,DF0ADF,DG-1000,D-7113,13,Y,Y,1,Germany
O,DDDC4E,Phoebus,F-CDOG,13,Y,Y,1,France
F,3EC970,Arcus M,D-KRGA,13,Y,Y,1,Germany
F,DDA65E,SZD-9 Bocian,D-3513,13,Y,Y,1,Germany
F,DD86DC,ASK-13,D-8213,13,Y,Y,1,Germany
O,BF82F8,UFO,IGC-013,13,Y,Y,6,Italy
F,DD84D5,DG-300,D-3213,13,Y,Y,1,Germany
O,99BEF4,Blanik,OK-0913,13,Y,Y,1,Czech Republic
F,DDE704,Astir Club,ZS-GLG,130,Y,Y,1,South Africa
O,405618,Cirrus Std,G-CHNM,133,Y,Y,1,United Kingdom
F,004811,ASG-29,ZS-OKW,133,Y,Y,1,South Africa
F,DF12CB,ASG-29,ZS-OKW,133,Y,Y,1,South Africa
F,F4F0D2,SGS 1-34,N1156S,134,Y,Y,1,United States
I,4055F5,LS-4,G-CFHL,136,Y,Y,1,United Kingdom
F,DDBFFD,ASW-20,G-CHDL,137,Y,Y,1,United Kingdom
F,AAE85F,Twin Astir II,N8013K,13K,Y,Y,1,United States
F,DDF092,Ventus 2ct,OK-3713,14,Y,Y,1,Czech Republic
F,DDD94E,ASW-15,D-2314,14,Y,Y,1,Germany
F,DDA738,Astir CS,D-4214,14,Y,Y,1,Germany
F,D009CF,JS-3 15M,D-KBHB,14,Y,Y,1,Germany
F,DDFA9D,Astir CS-77,D-5914,14,Y,Y,1,Germany
F,3ED524,Ventus 3M,D-KVRG,14,Y,Y,1,Germany
I,A0679F,PW-5,N125PW,14,Y,Y,1,United States
F,DD824F,Ka-8,D-0614,14,Y,Y,1,Germany
F,4847DD,Cirrus Std,PH-495,14,Y,Y,1,Netherlands
O,C30A2C,UFO,IGC-014,14,Y,Y,6,Italy
F,DDA542,Pilatus B4,D-1114,14,Y,Y,1,Germany
F,DDFA6E,Pilatus B4,CC-K14W,14,Y,Y,1,Chile
F,DDF110,Cirrus Std,PH-495,14,Y,Y,1,Netherlands
F,DD8543,Discus,D-5314,14,Y,Y,1,Germany
F,4B4DB1,HK36 Super Dimona,HB-2314,14,Y,Y,1,Switzerland
F,DDF068,SB-10,D-6085,14,Y,Y,1,Germany
F,200747,ASW-28 18,G-CLLV,140,Y,Y,1,United Kingdom
I,4079E0,ASW-28 18,G-CLLV,140,Y,Y,1,United Kingdom
O,3E3458,Zlin 142,OM-SGO,142,Y,Y,2,Slovakia
F,DDDB80,Pegase,F-CGBI,145,Y,Y,1,France
F,DD8DB0,Pegase,F-CGBJ,146,Y,Y,1,France
F,DD9D1B,Pegase,F-CGBJ,146,Y,Y,1,France
F,DDE34F,Mini Nimbus,G-SRAH,147,Y,Y,1,United Kingdom
F,DDFD16,Pegase,F-CGBG,148,Y,Y,1,France
F,2B573F,Pegase,UA-DEAD,148,Y,Y,1,Unknown
F,875844,PA-25 Pawnee,N8514L,14L,Y,Y,2,United States
O,C309A0,UFO,IGC-015,15,Y,Y,6,Italy
F,DD9E76,Libelle Std,D-9540,15,Y,Y,1,Germany
F,40131A,Discus bT,G-CJJZ,15,Y,Y,1,United Kingdom
F,DDAD66,Ka-8,D-7015,15,Y,Y,1,Germany
I,3EE10B,ASW-20,D-011,15,Y,Y,1,Germany
F,DDAE5F,Ka-6 e,D-6115,15,Y,Y,1,Germany
F,DD8D92,ASW-15,D-2336,15,Y,Y,1,Germany
F,DDA92D,ASK-21,D-3415,15,Y,Y,1,Germany
F,DD8A09,ASW-15,OK-1515,15,Y,Y,1,Czech Republic
F,DDD44B,ASK-21,D-9215,15,Y,Y,1,Germany
F,407905,Ventus 3T,G-CLXW,150,Y,Y,1,United Kingdom
F,DDE6FF,Astir CS,ZS-GKD,151,Y,Y,1,South Africa
F,D00298,ASH-31 MI,G-NAPS,151,Y,Y,1,United Kingdom
F,DDFAB8,Cirrus Std,G-DDZF,152,Y,Y,1,United Kingdom
F,66FEE8,SGS 1-26,N857Z,153,Y,Y,1,United States
F,DDC04A,ASH-25,OH-886,156,Y,Y,1,Unknown
F,DDDC3A,Discus,G-CFMO,158,Y,Y,1,United Kingdom
F,DDEAD9,ASW-27,G-CKDN,15C,Y,Y,1,United Kingdom
O,C777CB,PA-25 Pawnee,N9815P,15P,Y,Y,2,United States
O,C777C8,PA-25 Pawnee,N9815P,15P,Y,Y,2,United States
F,DD8D31,Ka-8,D-8616,16,Y,Y,1,Germany
F,DDD970,LS-6 18,F-CFTP,16,Y,Y,1,France
F,DD9369,Phoebus,I-LBOS,16,Y,Y,1,Italy
F,406887,Duo Discus xlt,G-SAXL,16,Y,Y,1,United Kingdom
F,DDE817,SZD-48-1 Jantar Std 2,HA-4488,16,Y,Y,1,Hungary
F,DDBC09,Glasflugel H301,SE-TIB,16,Y,Y,1,Sweden
F,DDEA5F,Duo Discus xlt,G-SAXL,16,Y,Y,1,United Kingdom
I,3EFA6F,Calif A21S,D-6616,16,Y,Y,1,Germany
F,DD870D,Ka-6 cr,D-8416,16,Y,Y,1,Germany
F,DD86E6,Ka-6 cr,D-5821,16,Y,Y,1,Germany
F,DD847D,ASK-21,D-4816,16,Y,Y,1,Germany
F,DDAABD,Ka-6 cr,D-5821,16,Y,Y,1,Germany
O,244A60,VSO-10,OM-6509,16,Y,Y,1,Slovakia
O,C30A28,UFO,IGC-016,16,Y,Y,6,Italy
I,A0F96E,Discus 2,N162DG,16,Y,Y,1,United States
F,DDA616,Ka-8,D-7016,16,Y,Y,1,Germany
F,0DA428,VSO-10,OM-6509,16,Y,Y,1,Slovakia
F,DDDB7E,ASK-21,D-1516,16,Y,Y,1,Germany
F,DDD5EE,LS-8 18,G-CJPR,161,Y,Y,1,United Kingdom
F,D0204F,ASH-25,N250XY,162,Y,Y,1,United States
I,A259A2,ASH-25,N250XY,162,Y,Y,1,United States
O,8E3C1D,ASW-19,G-DEEH,166,Y,Y,1,United Kingdom
