devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
F,DDF9F1,DG-300,D-5984,JA,Y,Y,1,Germany
F,DD52B4,Janus A,LV-ENL,JA,Y,Y,1,Argentina
F,975EE1,ASH-26 E,LN-GJA,JA,Y,Y,1,Norway
I,213D1B,H36 Dimona,D-KDJA,JA,Y,Y,1,Germany
F,DD8A79,PIK-20 D,OO-ZJA,JA,Y,Y,1,Belgium
O,383C03,Blanik,OK-0908,JA1,Y,Y,1,Czech Republic
O,225632,Maule M-7,OK-JAA,JAA,Y,Y,2,Czech Republic
O,220823,Maule M-7,OK-JAA,JAA,Y,Y,2,Czech Republic
F,DD92CA,Maule M-7-235,OK-JAA,JAA,Y,Y,2,Czech Republic
F,DDAA2B,Duo Discus,G-DJAC,JAC,Y,Y,1,United Kingdom
F,C78398,MS-893 Commodore,C-JACKY,JAC,Y,Y,2,Canada
F,405E37,Duo Discus,G-DJAC,JAC,Y,Y,1,United Kingdom
F,DDE48F,ASK-21,G-DJAD,JAD,Y,Y,1,United Kingdom
F,DDE1AF,Discus,G-DJAH,JAH,Y,Y,1,United Kingdom
F,405BEA,Ka-6 e,G-CJAL,JAL,Y,Y,1,United Kingdom
O,DDE4F7,Janus C,HA-XXXX,JAN,Y,Y,1,Hungary
F,DD8368,EC 135,HB-ZIZ,JAP,Y,Y,4,Switzerland
I,4B42ED,EC 135,HB-ZIZ,JAP,Y,Y,4,Switzerland
F,484605,Cessna 208,PH-JAS,JAS,Y,Y,2,Netherlands
F,DDEAFE,Discus,OK-2405,JAV,Y,Y,1,Czech Republic
F,DD92C9,Discus,OK-2405,JAV,Y,Y,1,Czech Republic
F,4013AC,ASK-21,G-CJAV,JAV,Y,Y,1,United Kingdom
F,4013B3,ASK-21,G-CJAX,JAX,Y,Y,1,United Kingdom
F,DD4FF5,ASW-19,SP-3931,JAY,Y,Y,1,Poland
F,DD51BD,Astir Jeans,G-CJAZ,JAZ,Y,Y,1,United Kingdom
F,DDDCC9,Discus,D-8514,JB,Y,Y,1,Germany
F,DD9B92,Discus,D-XXJB,JB,Y,Y,1,Germany
F,DDEDE7,LS-7,D-6414,JB,Y,Y,1,Germany
F,4B4E1B,Nimbus 4,HB-2420,JB,Y,Y,1,Switzerland
F,DDBB16,DG-600 18M,D-3404,JB,Y,Y,1,Germany
F,DDBD31,ASH-26 E,D-KIDO,JB,Y,Y,1,Germany
F,D0130A,DG-400,F-CJJB,JB,Y,Y,1,France
F,DD4EF3,Cirrus Std,OM-2112,JB,Y,Y,1,Slovakia
I,404FA0,Ventus ct,G-KCHG,JB,Y,Y,1,United Kingdom
O,A96F59,ASW-24,N707JB,JB,Y,Y,1,United States
F,DDFDE2,DG-400,D-KEMA,JB,Y,Y,1,Germany
F,108279,LS-8 18,F-CKLH,JB,Y,Y,1,France
F,DDD9EE,Libelle Club,D-1267,JB,Y,Y,1,Germany
F,D01CEF,LS-8,OK-7007,JB,Y,Y,1,Czech Republic
F,D01D4C,DG-400,F-CJJB,JB,Y,Y,1,France
I,3E71FB,Ventus 3M,D-KIJB,JB,Y,Y,1,Germany
F,DD8721,DR-400,D-EKJB,JB,Y,Y,2,Germany
F,D01CB0,Ventus ct,G-KCHG,JB,Y,Y,1,United Kingdom
F,D026D5,DG-300,OO-ZJB,JB,Y,Y,1,Belgium
F,406FC2,Silent 2 Electro,G-CJBA,JBA,Y,Y,1,United Kingdom
F,99B9F0,Drone/UAV,JB-GND,JBG,Y,Y,5,Unknown
F,DDDA5E,Alliance 34,F-CJBM,JBM,Y,Y,1,France
F,405612,ASK-21,G-CJBM,JBM,Y,Y,1,United Kingdom
F,485586,Cessna 208,PH-JBR,JBR,Y,Y,2,Netherlands
F,D006D7,ASW-19,G-CJBT,JBT,Y,Y,1,United Kingdom
F,405197,LS-4,G-CJBX,JBX,Y,Y,1,United Kingdom
F,DDF16A,Libelle Std,F-GLLOQ,JC,Y,Y,1,France
I,A0D67C,LS-3,N153MW,JC,Y,Y,1,United States
F,DDF9E0,LS-4,F-XXJC,JC,Y,Y,1,France
F,3EFA26,ASW-20,D-6543,JC,Y,Y,1,Germany
F,DDDCDD,DG-400,D-KLJC,JC,Y,Y,1,Germany
F,DF0A0D,ASW-20,D-6543,JC,Y,Y,1,Germany
F,4B509D,Discus,HB-3062,JC,Y,Y,1,Switzerland
F,DDC32A,Cessna 172,D-EGJC,JC,Y,Y,2,Germany
F,DF213E,Janus CT,D-KEJC,JC,Y,Y,1,Germany
O,99B584,Janus B,OK-2014,JC,Y,Y,1,Czech Republic
F,DDD7E6,Cirrus,D-3683,JC,Y,Y,1,Germany
F,DDDA53,SF-28,F-CFJC,JC,Y,Y,1,France
F,DDBA9D,Janus C,D-5080,JC,Y,Y,1,Germany
F,DDD870,Pegase,F-CGFM,JC,Y,Y,1,France
